"artifact_id","manuscript_location","source_file","source_hash","generation_script","generation_commit","filters","model_or_family_ids","caption","privacy_classification"
"Figure 1","main","metadata/stage4a_core_spec_v1.yml","0c11db96e099802235212c3beeb7c27b4cfdea5702aaa383e6a4544da602a13a","scripts/build_stage4a_manuscript_package_v2.R","WORKTREE","registered workflow only","M01,M02,M05,M27,M28,M29,S4A11,S4A12","Stage 4A checklist-conditional workflow and estimand boundary.","public aggregate schematic"
"Figure 2","main","outputs/stage4a_publication_v2/primary_guild_table_v2.csv","a2ecdf17d2a891f8d2cbe09d3c4fde54383115cc76e50722113451f5a36cb0fe","R/stage4a_pooling_report_v2.R","WORKTREE","M01; SoG and WCVI; both hurdle components","M01","Individual and v2 compatible-family posterior guild coefficients with 95% intervals.","public aggregate"
"Figure 3","main","outputs/stage4a_publication_v2/event_time_table_v2.csv","8430aa17b724d3d9761f2e2c4e40a2736825994f5bbec52ba68d07935f21cd1c","R/stage4a_pooling_report_v2.R","WORKTREE","all 160 registered M05 rows","M05","Discrete registered event-time coefficients across guilds and outcomes.","public aggregate"
"Figure 4","main","outputs/stage4a_publication_v2/sensitivity_concordance_v2.csv","b3035eb91a433e66813623334edf3d6c7a7c92a1ac925969587a04d0e6297ca6","R/stage4a_publication_report_v2.R","WORKTREE","WCVI matched reference, 2-km, dominant-observer","M01_PRIMARY_v2,S4A11,S4A12","Matched WCVI sensitivity coefficients with 95% intervals.","public aggregate"
"Figure 5","main","outputs/stage4a_publication_v2/sensitivity_concordance_v2.csv","b3035eb91a433e66813623334edf3d6c7a7c92a1ac925969587a04d0e6297ca6","R/stage4a_publication_report_v2.R","WORKTREE","M27/M28 whole-bundle placebos","M27_v2,M28_v2","Matched primary and whole-bundle placebo coefficients with 95% intervals.","public aggregate"
"Table 1","main","outputs/stage4a_results/aggregate_sample_sizes.csv","b69e69d773ce70ba2da47b46f17280a06706ed03a199e197728db9dafa752407","scripts/build_stage4a_manuscript_package_v2.R","WORKTREE","unique checklist-frame n by region","M01,M02","Frozen analytical populations and inferential roles.","public aggregate"
"Table 2","main","outputs/stage4a_publication_v2/priority_a_species_table_v2.csv","2cb8872f90453cf8342f1e937babda0aa410f67bfff17a9a20b476c70dbce7b1","scripts/build_stage4a_manuscript_package_v2.R","WORKTREE","all 20 priority-A rows","M02","Priority-A species coefficients, intervals, BH q-values, and component sample sizes.","public aggregate"
"Table 3","main","outputs/stage4a_publication_v2/matched_sensitivity_table_v2.csv","7b32c273a31c0dfafe2a94f692370d61760fb20f33f695853a2520b2423406fa","scripts/build_stage4a_manuscript_package_v2.R","WORKTREE","placebo and matched WCVI summaries plus M29 audit","M27_v2,M28_v2,S4A11,S4A12,M29","Sensitivity, placebo, singular-fit, and specificity-panel summary.","public aggregate"
"Table S1","supplement","metadata/stage4a_publication_model_disposition_v2.csv","1fb78b8b31bf2b9d617e6987644c57f82a34b5c0b526545ac640874b154d2a7d","scripts/build_stage4a_manuscript_package_v2.R","WORKTREE","complete registered aggregate rows","all registered","Supplementary model disposition table.","public aggregate"
"Table S2","supplement","outputs/stage4a_results/effect_estimates.csv","2a82c6877cf10fa2f711c9ef29f65f9c47da2755eb3cf2a3edb1c1296ab921d2","scripts/build_stage4a_manuscript_package_v2.R","WORKTREE","complete registered aggregate rows","Stage 4A v2","Supplementary all individual aggregate estimates table.","public aggregate"
