"table","field","r_type","description"
"verified_dataset_totals.csv","metric","character","Name of an inventory quantity."
"verified_dataset_totals.csv","value","integer","Verified numerical value of the inventory quantity."
"verified_dataset_totals.csv","unit","character","Unit associated with value."
"verified_dataset_totals.csv","scope","character","Population and time scope of the inventory row."
"verified_dataset_totals.csv","qa_status","character","QA disposition for the row or requested analysis."
"period_zone_support.csv","period","character","Frozen event-study temporal period."
"period_zone_support.csv","zone","character","Frozen spatial zone: near 0 to <5 km or reference 5 to 20 km."
"period_zone_support.csv","term","character","Joint period-by-zone exposure predictor name."
"period_zone_support.csv","checklists","integer","Privacy-safe number of eligible checklists in the category."
"period_zone_support.csv","event_links","integer","Number of source-event-to-checklist links in the category."
"period_zone_support.csv","source_events","integer","Number of distinct source herring events represented in the category."
"event_link_distribution.csv","distribution","character","Link-count distribution being summarized."
"event_link_distribution.csv","category","integer","Exact or grouped link-count category."
"event_link_distribution.csv","checklists","integer","Privacy-safe number of eligible checklists in the category."
"event_link_distribution.csv","proportion","numeric","Share of the distribution total in the category."
"active_minus_pre_contrasts.csv","analysis_version","character","Version identifier for the analysis that produced the row."
"active_minus_pre_contrasts.csv","analysis_taxon_id","character","Privacy-safe stable analysis taxon token; not an eBird record identifier."
"active_minus_pre_contrasts.csv","species","character","English common name under the frozen v2025 taxonomy crosswalk."
"active_minus_pre_contrasts.csv","outcome","character","Modeled observation process: checklist reporting, conditional positive numeric count, or finite numeric versus X."
"active_minus_pre_contrasts.csv","comparison","character","Compound timing contrast: A14 active-minus-pre14 or secondary A7 active-minus-pre7."
"active_minus_pre_contrasts.csv","primary_comparison","logical","TRUE for the frozen primary A14 comparison."
"active_minus_pre_contrasts.csv","active_estimate","numeric","Duration-weighted active-period baseline-adjusted near/reference estimate on the link scale."
"active_minus_pre_contrasts.csv","active_standard_error","numeric","Standard error of active_estimate from the full fixed-effect covariance matrix."
"active_minus_pre_contrasts.csv","pre_estimate","numeric","Pre-onset baseline-adjusted near/reference estimate on the link scale."
"active_minus_pre_contrasts.csv","pre_standard_error","numeric","Standard error of pre_estimate from the full fixed-effect covariance matrix."
"active_minus_pre_contrasts.csv","active_pre_covariance","numeric","Estimated covariance between the active and pre compound contrasts."
"active_minus_pre_contrasts.csv","estimate","numeric","Compound contrast estimate on the fitted link scale, or the named absolute prediction quantity."
"active_minus_pre_contrasts.csv","standard_error","numeric","Standard error of estimate."
"active_minus_pre_contrasts.csv","conf_low","numeric","Lower bound of the two-sided 95% confidence interval."
"active_minus_pre_contrasts.csv","conf_high","numeric","Upper bound of the two-sided 95% confidence interval."
"active_minus_pre_contrasts.csv","ratio","numeric","Exponentiated link-scale contrast estimate."
"active_minus_pre_contrasts.csv","ratio_conf_low","numeric","Lower 95% confidence bound after exponentiation."
"active_minus_pre_contrasts.csv","ratio_conf_high","numeric","Upper 95% confidence bound after exponentiation."
"active_minus_pre_contrasts.csv","p_value","numeric","Two-sided Wald p-value; blank when the model or contrast is not estimable."
"active_minus_pre_contrasts.csv","q_value","numeric","Benjamini-Hochberg adjusted p-value within the stated outcome-by-comparison family."
"active_minus_pre_contrasts.csv","n","integer","Privacy-safe number of rows used by the fitted model; counts below 20 are suppressed."
"active_minus_pre_contrasts.csv","full_covariance_used","logical","Whether all fixed-effect variance and covariance terms were used for the compound contrast."
"active_minus_pre_contrasts.csv","status","character","Completion, warning, failure, support, or feasibility classification."
"active_minus_pre_contrasts.csv","multiplicity_family","character","Exact family within which BH adjustment was applied."
"observed_summaries.csv","analysis_taxon_id","character","Privacy-safe stable analysis taxon token; not an eBird record identifier."
"observed_summaries.csv","species","character","English common name under the frozen v2025 taxonomy crosswalk."
"observed_summaries.csv","period","character","Frozen event-study temporal period."
"observed_summaries.csv","zone","character","Frozen spatial zone: near 0 to <5 km or reference 5 to 20 km."
"observed_summaries.csv","checklist_denominator","integer","Linked eligible checklists contributing to the nonexclusive observed cell."
"observed_summaries.csv","event_links","integer","Number of source-event-to-checklist links in the category."
"observed_summaries.csv","source_events","integer","Number of distinct source herring events represented in the category."
"observed_summaries.csv","reported_checklists","integer","Eligible linked checklists reporting the species; counts below 20 are suppressed."
"observed_summaries.csv","reporting_proportion","numeric","Observed unadjusted reported_checklists divided by checklist_denominator."
"observed_summaries.csv","finite_numeric_reports","integer","Reported occurrences stored as exact positive finite numeric counts; counts below 20 are suppressed."
"observed_summaries.csv","unquantified_x_reports","integer","Reported occurrences stored as unquantified X; counts below 20 are suppressed."
"observed_summaries.csv","lower_bound_reports","integer","Reported occurrences stored as lower-bound counts; counts below 20 are suppressed."
"observed_summaries.csv","other_reported_states","integer","Reported occurrences in retained states other than finite numeric, X, or lower bound."
"observed_summaries.csv","finite_numeric_proportion_among_reports","numeric","Observed share of reported occurrences with a positive finite numeric count."
"observed_summaries.csv","x_proportion_among_reports","numeric","Observed share of reported occurrences recorded as X."
"observed_summaries.csv","positive_finite_count_q25","integer","Observed first quartile of positive finite numeric counts."
"observed_summaries.csv","positive_finite_count_median","integer","Observed median of positive finite numeric counts."
"observed_summaries.csv","positive_finite_count_q75","numeric","Observed third quartile of positive finite numeric counts."
"observed_summaries.csv","observed_unadjusted","logical","TRUE when the row is a descriptive, unadjusted summary."
"observed_summaries.csv","suppressed_below_20","logical","Whether the applicable cell was suppressed for having fewer than 20 rows."
"finite_vs_x_observed_summary.csv","analysis_taxon_id","character","Privacy-safe stable analysis taxon token; not an eBird record identifier."
"finite_vs_x_observed_summary.csv","species","character","English common name under the frozen v2025 taxonomy crosswalk."
"finite_vs_x_observed_summary.csv","reported_occurrences","integer","All reported occurrences before restriction to finite numeric or X states."
"finite_vs_x_observed_summary.csv","finite_vs_x_denominator","integer","Unambiguous reported occurrences eligible for the finite-numeric-versus-X comparison."
"finite_vs_x_observed_summary.csv","finite_numeric_reports","integer","Reported occurrences stored as exact positive finite numeric counts; counts below 20 are suppressed."
"finite_vs_x_observed_summary.csv","unquantified_x_reports","integer","Reported occurrences stored as unquantified X; counts below 20 are suppressed."
"finite_vs_x_observed_summary.csv","finite_numeric_proportion","numeric","Observed finite-numeric share of the finite-or-X denominator, released only with support in both classes."
