action_id,sequence,category,action,scientific_purpose,already_registered,post_result_activation,required_data,protected_response_access,human_authorization,external_dependency,risk_of_result_driven_selection,expected_value,status
A01,1,can_complete_now_without_protected_data,Preserve and verify every Stage 4A v1 hash and artifact,Maintain immutable historical provenance,yes,no,tracked repository only,no,no,no,none,high,READY
A02,2,can_complete_now_without_protected_data,Complete human-review packet from tracked aggregates,Separate descriptive findings from unidentified claims,yes,no,tracked aggregate outputs,no,no,no,low,high,READY
A03,3,can_complete_now_without_protected_data,Harden unused zero-fill identity linkage and kernel-audit helpers,Prevent future silent corruption,no,yes,synthetic fixtures only,no,no,no,low,high,COMPLETED_ON_RECONCILIATION_BRANCH
A04,4,can_complete_now_without_protected_data,Validate DFO survey-effort schema on synthetic fixtures,Prepare an honest surveyed-positive surveyed-negative unknown intake,no,yes,synthetic fixtures only,no,no,DFO delivery,low,high,COMPLETED_ON_RECONCILIATION_BRANCH
A05,5,can_complete_now_without_protected_data,Design corrected grouped placebo and matched-family repair specification,Define the versioned repair without looking again at outcomes,partly,yes,tracked code specs and synthetic fixtures,no,yes,no,medium,high,READY_PENDING_HUMAN_AUTHORIZATION
A06,6,requires_human_stage4a_review,Decide whether PR2 is merged as immutable execution history,Preserve the authorized run while labeling limitations,yes,no,audit and aggregate package,no,yes,no,low,high,PENDING_HUMAN
A07,7,requires_human_stage4a_review,Decide claim level for SoG specificity and observation-process warnings,Prevent causal or species-specific overstatement,yes,no,tracked aggregate package,no,yes,no,medium,high,PENDING_HUMAN
A08,8,requires_human_stage4a_review,Decide whether M27 M28 WCVI 2km and dominant-observer repairs are worth rerunning,Target only nonconforming diagnostics and sensitivities,partly,yes,audit evidence and synthetic demonstrations,no,yes,no,high,high,PENDING_HUMAN
A09,9,requires_human_authorization_for_protected_rerun,Execute a new versioned diagnostic and sensitivity repair if approved,Measure impact of confirmed implementation defects,no,yes,protected 2005-2025 factorized cache or rebuilt authorized inputs,yes,yes,no,high,high,BLOCKED_AUTHORIZATION
A10,10,requires_external_DFO_data,Acquire survey coverage with observed positives negatives and unknown units,Identify true surveyed-negative comparison opportunities,no,yes,DFO survey effort and method metadata,no,yes,DFO,low,very_high,BLOCKED_EXTERNAL_DATA
A11,11,requires_external_DFO_data,Audit component and method comparability for intensity models,Determine whether E08 models are identifiable,partly,yes,DFO component method and coverage metadata,no,yes,DFO,medium,high,BLOCKED_EXTERNAL_DATA
A12,12,requires_prospective_governance_action,Approve or reject a small prospective primary claim hierarchy,Turn the holdout into a defined confirmation rather than a model catalogue,no,yes,draft amendment and power work,no,yes,no,high,very_high,PENDING_HUMAN
A13,13,requires_prospective_governance_action,Select and implement a holdout access mechanism,Improve credible one-shot access control,no,yes,governance package and access logs,no,yes,possibly_external_custodian,low,very_high,PENDING_HUMAN
A14,14,requires_prospective_governance_action,Complete response-free power or assurance analysis,Declare confirmable region-guild cells before release,no,yes,through-2025 metadata and prospective exposure support only,no,yes,versioned_DFO_and_eBird_release_metadata,medium,high,PENDING_DATA_AND_HUMAN
A15,15,must_wait_for_complete_2026_2028_holdout,Run M31 once under the approved frozen package,Perform prospective confirmation,yes,no,complete frozen 2026-2028 releases,yes,yes,complete_external_releases,none,very_high,PROSPECTIVE_LOCKED
