issue_id,original_claim,scientific_status,implementation_status,exact_existing_files,exact_existing_functions,exact_existing_tests,active_stage4a_code_path,stage4a_relevance,potential_stage4a_result_impact,prospective_relevance,required_action,human_decision_required,external_data_required,evidence,notes
R1,"Internal governance cannot establish confirmatory independence and independent custody is required",CONFIRMED_BUT_OVERSTATED,PROSPECTIVE_ONLY,"metadata/prospective_confirmation_spec.yml; metadata/stage4a_execution_v1.yml; tests/testthat/test-stage4a-pre-response-lock.R","stage4a_validate_disposition; Stage4AProtectedBuilder.RunProduction","Stage 4A lock hash tests; source-order holdout tests",NO,"Stage 4A is exploratory and its internal hashes establish tamper evidence rather than independent blinding",DOCUMENTATION_ONLY,"High; stronger holdout release governance remains available before 2026-2028 access",prospective-only amendment,YES,NO,"Human authorization and hashed lock predate access; custody is self-administered","Offer independent custodian; third-party key; timestamped one-shot package; or audited release controls without claiming any is implemented"
R2,"Exposure and eBird sampling are one shared human-effort process and same-observer or same-location designs must be primary",CONFIRMED_BUT_OVERSTATED,PARTIALLY_IMPLEMENTED,"docs/10_EBIRD_CHECKLIST_METHODS_REVIEW.md; metadata/stage4a_core_spec_v1.yml; R/stage4a_production.R; outputs/stage4a_results/diagnostic_status.csv","run_stage4a_production; .stage4a_simple_diagnostic","Stage 4A output and validation gate tests",YES,"E01 remains conditional checklist reporting; M26 M32 and M40 were executed but M26 does not estimate exposure-related visitation and none is a universal correction",SENSITIVITY_ONLY,"High for future observation-process design",post-result Stage 4A sensitivity,YES,NO,"M26 aggregates checklist counts by event block and year but fits year only; M32 and M40 are non-null","Separate ecological event; DFO observation; checklist location/submission; checklist effort; observer skill; and common causes"
R3,"No recorded event is not true absence so DFO survey effort is required before any response model",CONFIRMED_BUT_OVERSTATED,HUMAN_DECISION_PENDING,"docs/02_ANALYSIS_DESIGNS.md; metadata/stage4a_core_spec_v1.yml; R/stage4a_production.R",".stage4a_prepare_events; .stage4a_fit_one",NONE,YES,"Stage 4A contrasts are conditional on recorded linked events and do not establish surveyed-negative controls",DOCUMENTATION_ONLY,"Required for future true no-spawn comparisons",external-data dependency,YES,YES_DFO_SURVEY_EFFORT,"Stage 4A uses active near versus contemporaneous linked reference and frozen event strata; it does not label unmonitored shoreline as surveyed negative","Not a universal blocker for historical within-recorded-event associations"
R4,"The prospective holdout lacks a power analysis",CONFIRMED,PROSPECTIVE_ONLY,"metadata/prospective_confirmation_spec.yml; metadata/stage3_phase3_execution_v1.yml","none",NONE,NO,"No effect on executed Stage 4A development estimates",FUTURE_MODEL_ONLY,"High; confirmation cells need metadata-only MDE or assurance before lock",prospective-only amendment,YES,NO,"No prospective power artifact is tracked","Use response-free support and simulation assumptions; do not open holdout outcomes"
R5,"A directional ecological hypothesis invalidates negative controls and controls should be diversified",REFRAMED,HUMAN_DECISION_PENDING,"docs/01_SCIENTIFIC_FRAMEWORK.md; metadata/stage4a_core_spec_v1.yml; metadata/canonical_guild_registry.csv","none",NONE,YES,"The two-taxon panel is not guaranteed inert and was non-null in SoG; direction labels did not select reported Stage 4A results",DOCUMENTATION_ONLY,"High for prospective control selection and claim hierarchy",prospective-only amendment,YES,NO,"All activated results are reported regardless of sign; specificity taxa were explicitly not assumed biological nonresponders","Directional predictions are allowed but cannot drive taxon model or reporting selection"
R6,"Source-point geometry makes H2 and H5 unidentified and shoreline geometry must be added",CONFIRMED_BUT_OVERSTATED,PROSPECTIVE_ONLY,"metadata/stage3_phases1_3_authorization_v1.yml; docs/09_STAGE2_OUTCOME_BLIND_DESIGN_LOCK.md; metadata/stage4a_core_spec_v1.yml","Stage4AProtectedBuilder.AddLink",NONE,YES,"Source-point distance is defined but error-prone; M05 ring contrasts are representation-specific and H5 intensity models were deferred",SENSITIVITY_ONLY,"Possible separately authorized timing or geometry sensitivity",post-result Stage 4A sensitivity,YES,YES_VALIDATED_SHORELINE_COVERAGE,"Human authorization selected immutable source points only after documenting incomplete shoreline coverage","Do not retrofit shoreline geometry into Stage 4A v1"
R7,"Stage 4A placebos use plus or minus 14-day shifts inside a 42-day kernel",REFRAMED,IMPLEMENTED_BUT_DEFECTIVE,"metadata/stage4a_core_spec_v1.yml; R/stage4a_production.R; outputs/stage4a_results/diagnostic_status.csv",".stage4a_shift; .stage4a_simple_diagnostic; run_stage4a_production",NONE,YES,"Stage 4A used cyclic shifts rather than plus or minus 14 days; however shifts were global token-order shifts and row-level GLMs instead of within-region-year matched-family placebos",UNKNOWN_REQUIRES_PROTECTED_RERUN,"Register kernel-specific and event-specific placebo rules prospectively",historical implementation repair,YES,NO,"Lines creating false_date_active and false_location_active sort by analysis token and shift the full regional vector; the locked spec says within-region-year order and matched primary family","Affects 32 M27 or M28 diagnostic rows and interpretation; core M01 M02 M05 M08 estimates remain unchanged"
R8,"An unresolved biological event-complex rule and union-find chaining corrupt Stage 4A uncertainty blocks",RETIRED_CATEGORY_ERROR,IMPLEMENTED_AND_CORRECT,"docs/13_STAGE3_PHASE3_BLOCKED_VALIDATION_METHODS.md; scripts/Stage3Phase3BlockedValidation.cs; metadata/stage3_phase3_execution_v1.yml","BuildEventBlocks; BlockToken",NONE,YES,"Stage 4A validation blocks deliberately union all source events concurrently linked to a checklist; they are leakage blocks not biological event complexes",NO_STAGE4A_IMPACT,"Biological event grouping may be considered separately for other estimands",retired recommendation,NO,NO,"All concurrent source links and checklists remain on one fold; event-block overlap is zero","Anti-chaining a validation block would permit linked information to cross folds and is not justified"
R9,"Raw spawn-component sums are incomparable across records and corrupt Stage 4A dose response",NOT_APPLICABLE_TO_STAGE4A,NOT_USED_BY_STAGE4A,"R/herring_event_engineering.R; metadata/stage4a_model_disposition_v1.csv","derive_herring_event_fields",Herring engineering fixture tests,NO,"M18 and M19 intensity or component models were deferred and Stage 4A production never reads relative_spawn_index",NO_STAGE4A_IMPACT,"High for future dose-response work",post-result exploratory Stage 4B proposal,YES,YES_DFO_METHOD_AND_COMPONENT_METADATA,"Generic code retains component missingness and returns NA only when all components are missing","Future models must use component and method-matched or measurement-error approaches"
R10,"Stage 4A lacks numeric cross-family claim thresholds and cross-family multiplicity",CONFIRMED,IMPLEMENTED_BUT_DEFECTIVE,"docs/04_DECISION_RULES.md; metadata/stage4a_core_spec_v1.yml; R/stage4a_production.R; outputs/stage4a_results/effect_estimates.csv","stage4a_bh_within_family; .stage4a_normal_partial_pool","Stage 4A output tests; post-Stage4A synthetic pooling-family audit",YES,"BH was applied within locked model-specific families and the individual estimates standard errors confidence intervals p values and q values remain interpretable; however the reported partial-pool columns were computed in families defined only by region outcome and contrast and therefore mix model IDs unit classes and duplicated M11 or M12 component rows",CONFIRMED_MATERIAL_STAGE4A_IMPACT,"High; the claim hierarchy and each pooling family need explicit prospective definition",historical implementation repair,YES,NO,"All 84 region-outcome-contrast groups with computed pooling values contain more than one model ID or unit class across 4890 released rows; active-near groups mix M01 M02 M11 or M12 and M29 where present","Impact is confined to partial_pool_estimate and partial_pool_standard_error and any synthesis based on them; the released individual estimates and multiplicity columns were not overwritten and no protected rerun was performed"
R11,"Exposure-correlated misclassification is universal and ambiguity was folded into detection",REFRAMED,IMPLEMENTED_AND_CORRECT,"R/stage4a_core.R; metadata/stage4a_core_spec_v1.yml; outputs/stage4a_results/aggregate_sample_sizes.csv","stage4a_materialize_taxon",Factorized-state fixture tests,YES,"Ambiguity masks become structural unknowns and never zeros; differential misclassification remains plausible and taxon-specific",DOCUMENTATION_ONLY,"Potential future sensitivity for confusable taxa",post-result exploratory Stage 4B proposal,YES,NO,"The active materializer sets detection to NA for masked omissions and keeps X detection-only","No evidence establishes universal exposure-correlated error"
R12,"Traveling checklists up to 5 km are incompatible with 0 to 0.5 km rings",MODEL_SPECIFIC,PARTIALLY_IMPLEMENTED,"metadata/stage4a_core_spec_v1.yml; scripts/Stage4AProtectedBuilder.cs; R/stage4a_production.R; outputs/stage4a_results/high_precision_2km_sensitivity.csv","Stage4AProtectedBuilder.Eligible; Stage4AProtectedBuilder.AddLink; .stage4a_simple_diagnostic",Protected-builder fixture tests,YES,"M05 fine-ring interpretation is route-footprint limited; the 2 km sensitivity is better aligned but still was not fit with the matched primary family",SENSITIVITY_ONLY,"Model-specific effort gates can be registered",post-result Stage 4A sensitivity,YES,NO,"Primary allows travel at most 5 km; high-precision flag allows at most 2 km","Do not apply a blanket gate to 5 km active-near models"
R13,"Checklist-event linkage uses public row positions without cardinality assertions",CONFIRMED,NOT_USED_BY_STAGE4A,"R/spatial_linkage.R; scripts/Stage3Phase2SupportAudit.cs","candidate_event_links; ValidateLinks",Spatial exposure tests,NO,"The generic R helper is defective but Stage 4A used hashed analysis-event and immutable source tokens from the C sharp builder with unique pair assertions",NO_STAGE4A_IMPACT,"Relevant to future R linkage paths",historical implementation repair,NO,NO,"Stage 3 ValidateLinks asserts unique checklist by source pairs and finite bounded distances","Fix generic helper using analysis_checklist_id and source_record_id; do not rename an analysis ID to sampling_event_identifier"
