model_id,estimand,historical_registered_role,stage4a_disposition,fitted,completion_failure_status,existing_result_artifact,applicable_review_issues,original_results_remain_interpretable,rerun_needed,protected_response_access_required,external_dfo_data_required,human_authorization_required,recommended_next_stage
M01,E04,core guild hurdle GAMM,activated_core,true,COMPLETED_POTENTIAL_REPAIR_REQUIRED,outputs/stage4a_results/effect_estimates.csv,R2|R6|R10|R11|R12|R26|R27|R29,YES_INDIVIDUAL_EFFECTS_ONLY_POOLING_COLUMNS_UNUSABLE,AGGREGATE_POOLING_REPAIR_PLUS_OPTIONAL_MATCHED_SENSITIVITY,YES_FOR_SENSITIVITY_ONLY,NO,YES_FOR_REPAIR_DEFINITION,COMPLETED_POTENTIAL_REPAIR_REQUIRED
M02,E01,core species hurdle GAMM,activated_core,true,COMPLETED_POTENTIAL_REPAIR_REQUIRED,outputs/stage4a_results/effect_estimates.csv,R2|R5|R6|R10|R11|R12|R26|R27|R29,YES_INDIVIDUAL_EFFECTS_ONLY_POOLING_COLUMNS_UNUSABLE,AGGREGATE_POOLING_REPAIR,NO,NO,YES_FOR_REPAIR_DEFINITION,COMPLETED_POTENTIAL_REPAIR_REQUIRED
M03,E03,core total associated count,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R10|R20|R26|R27,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,NO,YES,POST_RESULT_EXPLORATORY_ONLY
M04,E05,core guild richness model,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R19|R25|R26|R27,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,NO,YES,POST_RESULT_EXPLORATORY_ONLY
M05,E06,core distance-ring event study,activated_core,true,COMPLETED_POTENTIAL_REPAIR_REQUIRED,outputs/stage4a_results/effect_estimates.csv,R6|R7|R10|R12|R27|R29,YES_INDIVIDUAL_EFFECTS_REPRESENTATION_SPECIFIC_POOLING_COLUMNS_UNUSABLE,AGGREGATE_POOLING_REPAIR_PLUS_OPTIONAL_ROUTE_MATCHED_SENSITIVITY,YES_FOR_SENSITIVITY_ONLY,NO,YES_FOR_REPAIR_DEFINITION,COMPLETED_POTENTIAL_REPAIR_REQUIRED
M06,E06,core time-distance surface,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R6|R12|R27|R29,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,NO,YES,POST_RESULT_EXPLORATORY_ONLY
M07,E07,supporting regional allocation model,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R3|R25|R26|R27,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,YES_FOR_TRUE_NEGATIVES,YES,BLOCKED_IDENTIFICATION
M08,E07,core near-far mass-balance contrast,activated_core,true,COMPLETED_POTENTIAL_REPAIR_REQUIRED,outputs/stage4a_results/effect_estimates.csv,R3|R10|R25|R26|R27,YES_INDIVIDUAL_ACTIVE_REFERENCE_ASSOCIATION_POOLING_COLUMNS_UNUSABLE,AGGREGATE_POOLING_REPAIR_SEPARATE_INTERFERENCE_DESIGN_NEEDED,YES_FOR_NEW_DESIGN_ONLY,MODEL_SPECIFIC,YES_FOR_REPAIR_AND_NEW_DESIGN,COMPLETED_POTENTIAL_REPAIR_REQUIRED
M09,E06,core repeated-location fixed effects,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R2|R26|R27,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,NO,YES,POST_RESULT_EXPLORATORY_ONLY
M10,E06,supporting same-observer matched model,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R2|R21|R26|R27|R31,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,NO,YES,POST_RESULT_EXPLORATORY_ONLY
M11,E01,core encounter component,activated_component,true,COMPLETED_POTENTIAL_REPAIR_REQUIRED,outputs/stage4a_results/effect_estimates.csv,R2|R10|R11,YES_ONLY_AS_INDIVIDUAL_M01_M02_COMPONENT_POOLING_COLUMNS_UNUSABLE,AGGREGATE_POOLING_REPAIR_NO_INDEPENDENT_MODEL_RERUN,NO,NO,YES_FOR_REPAIR_DEFINITION,COMPLETED_POTENTIAL_REPAIR_REQUIRED
M12,E02,core positive-count lognormal component,activated_component,true,COMPLETED_POTENTIAL_REPAIR_REQUIRED,outputs/stage4a_results/effect_estimates.csv,R10|R19,YES_ONLY_AS_INDIVIDUAL_M01_M02_COMPONENT_POOLING_COLUMNS_UNUSABLE,AGGREGATE_POOLING_REPAIR_NO_INDEPENDENT_MODEL_RERUN,NO,NO,YES_FOR_REPAIR_DEFINITION,COMPLETED_POTENTIAL_REPAIR_REQUIRED
M13,E03,supporting full count NB or Tweedie,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R10|R19|R20,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,NO,YES,POST_RESULT_EXPLORATORY_ONLY
M14,E15,supporting ordinal flock size,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R19|R20|R31,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,NO,YES,POST_RESULT_EXPLORATORY_ONLY
M15,E13,sensitivity event-complex model,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R8|R15|R29,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,NO,YES,READY_FOR_OUTCOME_FREE_ENGINEERING
M16,E13,sensitivity spawn-footprint model,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R6|R12|R27,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,YES_VALIDATED_SHORELINE,YES,BLOCKED_DFO_SURVEY_EFFORT
M17,E06,core multi-event exposure kernel,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R7|R13|R16|R29,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,NO,YES,READY_FOR_OUTCOME_FREE_ENGINEERING
M18,E08,core intensity dose response,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R9|R27|R29,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,YES_METHOD_COMPONENT_SUPPORT,YES,BLOCKED_DFO_SURVEY_EFFORT
M19,E08,supporting component-quality intensity,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R9|R11|R27,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,YES_METHOD_COMPONENT_SUPPORT,YES,BLOCKED_DFO_SURVEY_EFFORT
M20,E12,supporting trait second-stage hierarchy,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R5|R18|R30,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,NO,YES,POST_RESULT_EXPLORATORY_ONLY
M21,E12,core detection community latent factor,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R10|R27|R30|R31,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,NO,YES,POST_RESULT_EXPLORATORY_ONLY
M22,E12,supporting ordination or PERMANOVA,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R20|R25|R27|R30,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,NO,YES,POST_RESULT_EXPLORATORY_ONLY
M23,E11,core silver-wave phenology,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R27|R28|R29|R30,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,NO,YES,POST_RESULT_EXPLORATORY_ONLY
M24,E06,supporting stacked difference-in-differences,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R3|R23|R24|R25|R26|R27,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,YES_SURVEYED_NEGATIVES,YES,BLOCKED_DFO_SURVEY_EFFORT
M25,E06,exploratory generalized synthetic control,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R3|R20|R23|R25|R27,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,YES_SURVEYED_NEGATIVES,YES,BLOCKED_DFO_SURVEY_EFFORT
M26,E10,diagnostic birder-visitation process,activated_diagnostic,true,COMPLETED_NONCONFORMING_DIAGNOSTIC,outputs/stage4a_results/diagnostic_status.csv,R2|R22|R26|R27,NO_FOR_PREFERENTIAL_VISITATION_CLAIM,YES_VERSIONED_DIAGNOSTIC_REPAIR,NO_RESPONSE_FIELDS_NEEDED,MODEL_SPECIFIC,YES,READY_PENDING_HUMAN_AUTHORIZATION
M27,E13,diagnostic false-date placebo,activated_diagnostic,true,COMPLETED_POTENTIAL_REPAIR_REQUIRED,outputs/stage4a_results/diagnostic_status.csv,R7|R10|R29,NO_AS_LOCKED_PLACEBO,YES_VERSIONED_REPAIR,YES,NO,YES,COMPLETED_POTENTIAL_REPAIR_REQUIRED
M28,E13,diagnostic false-location placebo,activated_diagnostic,true,COMPLETED_POTENTIAL_REPAIR_REQUIRED,outputs/stage4a_results/diagnostic_status.csv,R7|R10|R27,NO_AS_LOCKED_PLACEBO,YES_VERSIONED_REPAIR,YES,NO,YES,COMPLETED_POTENTIAL_REPAIR_REQUIRED
M29,E13,diagnostic specificity panel,activated_diagnostic,true,COMPLETED_POTENTIAL_REPAIR_REQUIRED,outputs/stage4a_results/effect_estimates.csv,R5|R10|R11,YES_INDIVIDUAL_SPECIFICITY_EFFECTS_ONLY_POOLING_COLUMNS_UNUSABLE,AGGREGATE_POOLING_REPAIR,NO,NO,YES_FOR_REPAIR_DEFINITION,COMPLETED_POTENTIAL_REPAIR_REQUIRED
M30,E14,supporting coastwide meta-analysis,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R6|R27|R30,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,NO,YES,POST_RESULT_EXPLORATORY_ONLY
M31,E14,core prospective holdout,prospective_locked,false,PROSPECTIVE_LOCKED,NONE,R1|R4|R10|R21|R30|R31,NOT_YET_AVAILABLE,NO_UNTIL_COMPLETE_HORIZON,YES_ONLY_AFTER_LOCK_RELEASE,NO,YES,PROSPECTIVE_LOCKED
M32,E10,diagnostic count-missingness model,activated_diagnostic,true,COMPLETED_WITH_UNCLUSTERED_DIAGNOSTIC_LIMITATION,outputs/stage4a_results/diagnostic_status.csv,R2|R11|R21|R31,YES_AS_DESCRIPTIVE_PROCESS_SIGNAL,OPTIONAL_MATCHED_BLOCKED_REPAIR,YES,NO,YES,COMPLETED_WITH_LIMITATIONS
M33,E04,core ambiguous-guild interval count,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R11|R18|R19,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,NO,YES,POST_RESULT_EXPLORATORY_ONLY
