estimand_id,target_quantity,conditioning_population,response_state,exposure_state_required,true_surveyed_negatives_required,selection_risk,interference_risk,positivity_requirements,geometry_timing_requirements,stage4a_status,current_interpretability,next_action,prospective_confirmation_requirements
E01,Probability a taxon is reported,Eligible complete submitted checklist by taxon,detection distinct from X ambiguity and count,Recorded-event active/reference and frozen source-point strata,no,HIGH_MEDIUM,HIGH_MEDIUM,Overlap in season region protocol effort observer history habitat and access,Validated source-point representation and frozen event timing,COMPLETED_STAGE4A_M02,Descriptive association conditional on submitted eligible checklists; not occurrence occupancy or causation,HUMAN_STAGE4A_INTERPRETATION_AND_OBSERVATION_PROCESS_REVIEW,Freeze small claim hierarchy; matched diagnostics; holdout access control; no response-derived nuisance learning
E02,Expected positive numeric reported count,Detected taxon with a positive numeric count,positive numeric only; X and lower bounds separate,Recorded-event active/reference and frozen source-point strata,no,HIGH_MEDIUM,HIGH_MEDIUM,Overlap among numeric-report checklists and count availability,Same as E01 plus count-family support,COMPLETED_STAGE4A_M12_COMPONENT,Descriptive conditional reported-count association with visible lognormal versus truncated-NB2 disagreement,HUMAN_REVIEW_OF_COMPONENT_AND_FAMILY_DISCORDANCE,Freeze family arbitration independent of holdout sign and retain all count states
E03,Zero-inclusive reported numeric count,Eligible complete checklist by taxon,deterministic zero plus numeric count; X unresolved,Recorded-event or surveyed comparison depending design,model_specific,HIGH,HIGH,Overlap in checklist submission and exposure classification,Registered zero construction and supported geometry,DEFERRED_REGISTERED,Not estimated in Stage 4A,OUTCOME_FREE_SPECIFICATION_REVIEW,Define treatment of X and lower bounds; power; multiplicity; prospective lock
E04,Guild reporting and bounded reported count,Eligible complete checklist by primary guild,detection richness and positive numeric guild count kept separate,Recorded-event active/reference and frozen source-point strata,no,HIGH_MEDIUM,HIGH_MEDIUM,Overlap by guild region effort observer and event block,Source-point strata and route-footprint compatibility,COMPLETED_STAGE4A_M01,Descriptive guild association; positive-count conditioning and one CC support failure visible,HUMAN_STAGE4A_INTERPRETATION_AND_MATCHED_SENSITIVITY_DECISION,Freeze primary guild contrasts and matched count-family rule before holdout
E05,Registered richness and diversity,Eligible complete checklist,registered detection diversity with bounded count sensitivity,Recorded-event exposure,no,HIGH,HIGH,Community coverage and comparable checklist effort,Source-point timing and assemblage support,DEFERRED_REGISTERED,Not estimated in Stage 4A,POST_RESULT_STAGE4B_OPTION_ONLY,Predeclare metric and taxon set; block validation; multiplicity and holdout power
E06,Event-time by source-point-distance change,Eligible checklist by species or guild,detection and positive numeric count,All concurrent recorded links in frozen time and distance strata,no,HIGH_MEDIUM,HIGH,Common support across rings phases effort routes and observers,Route footprint must match claimed ring resolution; timing representation fixed,COMPLETED_STAGE4A_M05,Representation-specific descriptive pattern; fine rings limited for traveling routes,HUMAN_REVIEW_AND_OPTIONAL_AUTHORIZED_ROUTE_MATCHED_SENSITIVITY,Freeze model-specific route gate and timing geometry before holdout
E07,Near far and regional allocation or mass balance,Region-time or checklist contrast,detection count share or regional total,Concurrent recorded events and comparison units,model_specific,HIGH,VERY_HIGH,Overlap in regional checklist allocation and exposure opportunities,Movement catchment; regional boundary; simultaneous timing,COMPLETED_STAGE4A_M08_LIMITED,Active-near minus contemporaneous-reference association only; not identified regional mass balance,HUMAN_REVIEW_AND_SEPARATE_INTERFERENCE_DESIGN,Predeclare local allocation and regional-total endpoints with interference assumptions
E08,Response gradient across herring intensity components,Eligible checklist-event,detection and count with component missingness separate,Recorded source components and method-matched intensity,no,HIGH_MEDIUM,HIGH_MEDIUM,Overlap by component availability method region and effort,Component-comparable geometry and fixed timing,DEFERRED_REGISTERED,Not estimated in Stage 4A,DFO_COMPONENT_AND_METHOD_AUDIT_BEFORE_ACTIVATION,Freeze component-specific model and measurement-error rules before outcome access
E09,Residual co-detection association,Eligible checklist by taxon pair,detection-first residual association,Recorded-event phases and distance,no,HIGH,HIGH,Pairwise prevalence and checklist overlap,Blocked event timing and distance support,DEFERRED_REGISTERED,Not estimated; residual association would not establish interaction,POST_RESULT_STAGE4B_OPTION_ONLY,Freeze reduced pair set latent structure and validation without holdout leakage
E10,Checklist visitation reporting and count-state processes,Observed checklist or observer metadata; zero-submission opportunities when available,visitation count richness reporting and numeric availability,Recorded exposure plus explicit choice set where identifiable,yes_for_true_no_spawn_visitation,HIGH,HIGH,Observed alternatives and common support in access habitat and survey coverage,Spatial choice set and event timing must precede outcome,PARTIAL_M26_M32_M40,M32 and M40 describe observation structure; M26 does not estimate exposure-related visitation,VERSIONED_DIAGNOSTIC_REPAIR_PROPOSAL,Freeze selection-process estimand and choice set; DFO coverage where used; no automatic weighting
E11,Phenology and lagged relative response,Section-year or checklist,seasonal timing and lagged reported response,Versioned herring timing and lagged exposure,model_specific,HIGH,HIGH,Overlap across years latitudes and seasonal support,Start end midpoint interval and availability fixed,DEFERRED_REGISTERED,Not estimated in Stage 4A,OUTCOME_FREE_TIMING_SPECIFICATION_ONLY,Freeze timing representation and power before holdout
E12,Community composition and species heterogeneity,Eligible checklist by registered species,detection-first composition with count states separate,Recorded-event exposure,no,HIGH,HIGH,Assemblage and effort overlap with blocked replication,Source-point timing and community support,DEFERRED_REGISTERED,Not estimated in Stage 4A,POST_RESULT_STAGE4B_OPTION_ONLY,Freeze one primary community architecture and validation rule before holdout
E13,Deviation under placebo specificity and sensitivity designs,Matched diagnostic population,matched core outcome or specificity detection,Outcome-free shifted exposure or fixed specificity panel,model_specific,HIGH_MEDIUM,HIGH,Matched support within region-year and preserved observation structure,Event-specific uncontaminated shifts and matched primary family,COMPLETED_BUT_M27_M28_REPAIR_REQUIRED,M29 specificity is interpretable as a warning; M27 and M28 results are not conforming diagnostics,REQUEST_HUMAN_AUTHORIZATION_FOR_VERSIONED_DIAGNOSTIC_REPAIR,Freeze placebo construction matching and decision rules before holdout
E14,Out-of-block predictive stability,Held-out event block or prospective holdout,registered core response,Event-blocked development or inaccessible 2026-2028 exposure,no,HIGH_MEDIUM,HIGH,Training overlap and prospective support,Whole-block assignment and population-level prediction,EVENT_BLOCKED_COMPLETE_M31_LOCKED,Development prediction metrics are usable with disclosed fixed-factor exclusions; prospective claim unavailable,KEEP_M31_AND_2026_2028_LOCKED,Power; immutable package; one-shot access; no interim looks; independent or audited release mechanism
E15,Spatial concentration and upper-tail flock reporting,Eligible checklist by taxon or guild,numeric threshold and X separate,Recorded-event distance and regional allocation,no,HIGH,HIGH,Upper-tail support and stable denominators,Route-compatible distance and frozen threshold period,DEFERRED_REGISTERED,Not estimated in Stage 4A,POST_RESULT_STAGE4B_OPTION_ONLY,Freeze thresholds from development period without holdout access and validate power
