"claim_id","provisional_manuscript_section","proposed_claim_text","classification","estimand_identifier","model_identifier_or_family","species_or_guild","region","exposure_window","source_output_file","source_row_or_deterministic_key","table_identifier","figure_identifier","individual_model_support","pooled_family_support","placebo_result","wcvi_2km_result","dominant_observer_result","regional_or_falsification_result","singular_fit_status","multiplicity_status","robustness_classification","permitted_wording","prohibited_wording","required_qualification","inclusion_status","reason_for_status"
"C001","Abstract; Results","The primary frames contained 217,200 eligible SoG checklist events from 2005 and 8,584 eligible WCVI checklist events from 2015, with responses read only through 2025.","methodological","eligible submitted complete checklist","M01/M02","all registered units","SoG; WCVI","registered frame","outputs/stage4a_results/aggregate_sample_sizes.csv","unique n by region","Table 1","Figure 1","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","robust","eligible checklist events in the frozen frame","bird population size or survey census","counts are checklist-frame sizes, not independent birds or population abundance","headline","directly verified in aggregate sample-size output"
"C002","Results","SoG ecological guild detection associations were heterogeneous: five of seven estimates were positive and two were negative, with all seven BH q-values below 0.05.","confirmatory","active-near checklist detection log-odds","M01","seven ecological guilds","SoG","active-near","outputs/stage4a_publication_v2/primary_guild_table_v2.csv","model_id=M01|region=SoG|outcome=detection|unit_label!=falsification","Table 2","Figure 2","all seven individual coefficients reported","compatible v2 posterior shown","M27/M28 diagnostic only","not applicable","not applicable","M29 SoG panel non-null","ordinary fits","BH within registered M01 SoG detection family","supported with qualification","heterogeneous checklist-detection associations","universal positive response or causal aggregation effect","non-null specificity panel and checklist selection limit ecological specificity","headline","registered complete family; direction and multiplicity are transparent"
"C003","Results","SoG ecological guild positive-count associations were heterogeneous, including positive, negative, and imprecise coefficients.","confirmatory","active-near positive log count conditional on numeric detection","M01","seven ecological guilds","SoG","active-near","outputs/stage4a_publication_v2/primary_guild_table_v2.csv","model_id=M01|region=SoG|outcome=positive_count|unit_label!=falsification","Table 2","Figure 2","all seven individual coefficients reported","compatible v2 posterior shown","M27/M28 diagnostic only","not applicable","not applicable","M29 is detection-only","ordinary fits","BH within registered family","supported with qualification","conditional positive-count association","abundance or biomass change","conditional on a positive numeric report; X is not a numeric count","main text","complete family prevents significance-only reporting"
"C004","Abstract; Results","WCVI guild coefficients differed by guild and outcome; matched 2-km and dominant-observer sensitivities preserved the matched-reference sign in 15 of 16 components each.","secondary","matched M01 checklist detection and positive-log-count associations","M01_PRIMARY_v2; S4A11; S4A12","eight registered guilds","WCVI","active-near","outputs/stage4a_publication_v2/sensitivity_concordance_v2.csv","model_version_id in S4A11_WCVI_DOMINANT_OBSERVER_v2,S4A12_WCVI_2KM_v2","Table 3","Figure 4","matched reference reported","not pooled","not applicable","15/16 same sign","15/16 same sign","WCVI specificity panel not BH-significant","17 of 32 sensitivity/reference components in Figure 4 have singular warnings","BH within model-version x region x outcome family","supported with qualification","directional agreement in matched sensitivities","fully robust or unbiased WCVI effect","sparse geometry and singular random-effect fits remain visible","headline","two prespecified dimensions generally preserve sign but boundary fits preclude unqualified robustness"
"C005","Results","Surf Scoter and Short-billed Gull had positive detection and conditional positive-count coefficients in both primary regions, while other priority species were region- or component-dependent.","confirmatory","M02 active-near detection and conditional positive count","M02","five priority-A species","SoG; WCVI","active-near","outputs/stage4a_publication_v2/priority_a_species_table_v2.csv","all 20 rows","Table 2","Supplementary Figure S1","all 20 individual coefficients reported","compatible v2 posterior available","not species-matched","not species-matched","not species-matched","SoG M29 panel weakens specificity","ordinary fits in frozen M02 table","BH within registered species-outcome family","supported with qualification","species- and component-dependent associations","all focal species aggregated or increased","interpretation is checklist-conditional and not movement evidence","main text","two species show cross-region direction while other prespecified species do not"
"C006","Results","Registered event-time coefficients varied across guilds, outcomes, windows, and regions rather than forming one common monotone trajectory.","secondary","discrete event-time checklist associations","M05","eight guilds","SoG; WCVI","five frozen windows","outputs/stage4a_publication_v2/event_time_table_v2.csv","all 160 rows","Supplementary Table S3","Figure 3","all rows reported","compatible v2 posterior shown","not applicable","not applicable","not applicable","falsification guild included","ordinary source fits","BH within M05 region-outcome families","supported with qualification","heterogeneous discrete-window pattern","causal event study or continuous trajectory","windows are discrete registered contrasts and include the falsification guild","main text","complete 160-row family supports a heterogeneity statement"
"C007","Abstract; Results","None of the 64 matched whole-bundle placebo components had BH q below 0.05.","methodological","matched shifted-bundle diagnostic association","M27_v2; M28_v2","eight guilds","SoG; WCVI","within-region-year shifted bundles","outputs/stage4a_publication_v2/matched_sensitivity_table_v2.csv","model_version_id in M27_v2,M28_v2","Table 3","Figure 5","64 components","not pooled","0/64 BH q<0.05","not applicable","not applicable","does not negate M29 true-exposure panel","20 components have singular warnings","BH within model-version x region x outcome family","robust","no BH-significant matched placebo component","placebos prove exchangeability or causal identification","diagnostic result only; null placebos do not erase residual confounding","headline","whole registered placebo bundle completed without failed components"
"C008","Methods; Results","All 128 protected sensitivity components completed; 43 retained explicit singular-fit warnings and none failed.","methodological","execution completeness","publication sensitivity v2","all guild components","SoG; WCVI","all","outputs/stage4a_publication_sensitivity_v2/model_diagnostics_v2.csv","all 128 component keys","Table 3","Figure 4; Figure 5","finite estimates and intervals","not pooled","included","included","included","not applicable","43 singular; 85 ordinary","not an inferential multiplicity claim","robust","completed with explicit warning","all models fit without qualification","singularity implies one or more boundary variance terms; exact collapsed term is not in aggregate diagnostics","main text","direct execution accounting"
"C009","Results; Discussion","The SoG specificity panel was non-null for both Gadwall and Northern Shoveler detection.","limitation","M29 active-near checklist detection","M29","Gadwall; Northern Shoveler","SoG","active-near","outputs/stage4a_results/effect_estimates.csv","M29|SoG|Gadwall,Northern Shoveler|detection","Table 3","none","2/2 positive with BH q<0.05","not pooled","not a shifted placebo","not applicable","not applicable","direct specificity warning","ordinary fits","BH within M29 SoG detection family","robust","non-null prespecified specificity panel","all falsification analyses were null or every primary association is spurious","targets detection specificity and shared seasonal/spatial/observation structure; it does not test positive counts","headline","materially changes interpretation and therefore belongs in the main manuscript"
"C010","Discussion","The non-null SoG panel weakens causal and simple species-specific ecological interpretations but does not erase the descriptive checklist association.","limitation","claim-boundary interpretation","M29 relative to M01/M02","all affected SoG detection claims","SoG","active-near","outputs/stage4a_publication_v2/sog_falsification_claim_audit_v2.csv","all two rows","Table 3","none","localized comparison","not pooled","distinct from M27/M28","not applicable","not applicable","direct","ordinary fits","multiplicity already applied","supported with qualification","weakens specificity while retaining descriptive association","proof all primary associations are spurious","residual seasonal, spatial, submission, site-selection, and classification explanations remain plausible","main text","localized implication follows the registered purpose and observed magnitude"
"C011","Methods; Supplement","The authoritative v1 pooling invalidation covers 6,562 finite rows in 112 historical families; v2 produced 162 compatible estimable families.","methodological","compatible-family partial pooling","pooling repair v2","all compatible units","all regions","all registered","outputs/stage4a_publication_v2/pooling_repair_summary_v2.csv","all metrics","Supplementary Table S4","Supplementary Figure S2; S3","individual estimates preserved","162/162 estimable","not applicable","not applicable","not applicable","not applicable","noncompleted and duplicates explicit NA","model-specific BH q preserved","robust","authoritative pooling-repair scope","v1 pooled fields remain valid","historical v1 artifacts were not modified","main text","hash-checked repair output and accepted invalidation scope"
"C012","Methods; Supplement","The initial pooling audit undercounted because the registered North-region literal code NA was parsed as missing; typed column-specific parsing repaired the scope.","methodological","typed aggregate parsing","pooling repair v2","all North-region families","NA (North)","all registered","reports/stage4a_publication_methods_v2.md","typed parser disclosure","Supplementary Table S4","none","individual fields preserved","families repaired","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","robust","literal region code NA was preserved as a category","protected data were recovered or source missingness was imputed","repair used privacy-safe aggregate coefficients only","supplement","implementation history is essential for reproducibility but not ecological headline"
"C013","Methods; Supplement","The v2 release contains 6,085 posterior rows, 439 duplicate M11/M12 representations as explicit NA, and 38 noncompleted rows as explicit NA.","methodological","pooling row disposition","pooling repair v2","all units","all regions","all registered","outputs/stage4a_publication_v2/supplementary_exclusion_summary_v2.csv","all three release categories","Supplementary Table S5","Supplementary Figure S2","canonical individual estimates retained","6,085 posterior rows","not applicable","not applicable","not applicable","not applicable","explicit NA reason codes","not applicable","robust","explicit NA dispositions","excluded rows are zero effects","duplicates are representations, not independent evidence","supplement","complete row accounting"
"C014","Methods","M27/M28 moved the complete exposure bundle within region-year strata with zero fixed points and without reading response fields.","methodological","whole-bundle placebo construction","M27_v2; M28_v2","all guilds","SoG; WCVI","within-region-year","outputs/stage4a_publication_sensitivity_v2/transformation_audit_v2.csv","all strata and transformations","Supplementary Table S7","Figure 5","matched architectures","not pooled","construction passed","not applicable","not applicable","not applicable","not applicable","not applicable","robust","response-blind whole-bundle transformation","row-level independent randomization or causal permutation test","diagnostic preserves bundle distribution within strata","main text","registered transformation audit"
"C015","Methods; Data availability","Surveyed-positive, surveyed-negative, and unmonitored-unknown DFO states remain distinct; missing herring components are not zero.","limitation","DFO monitoring-state exposure construction","registered exposure engine","all","all regions","all","reports/stage4a_publication_claim_boundaries_v2.md","monitoring-state rule","none","Figure 1","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","robust","unmonitored is unknown","missing DFO records are negative spawn observations","incomplete monitoring can misclassify recorded exposure","main text","frozen claim boundary and data-governance rule"
"C016","Methods; Discussion","Inference is conditional on eligible submitted complete eBird checklists after registered adjustment.","methodological","checklist-conditional association","all Stage 4A models","all","all regions","all","reports/stage4a_publication_claim_boundaries_v2.md","supported wording","none","Figure 1","all models","all pooled summaries","diagnostic only","qualified","qualified","qualified","some sensitivity components singular","multiplicity does not change estimand","robust","among eligible submitted complete checklists","bird population response","submission and site selection remain possible","headline","core estimand boundary"
"C017","Discussion","Observer and effort covariates reduce measured differences but do not eliminate unmeasured selection or submission bias.","limitation","adjustment interpretation","all Stage 4A models","all","all regions","all","metadata/stage4a_core_spec_v1.yml","fixed predictor and random intercept specification","none","Figure 1","adjusted estimates","adjusted pooled estimates","diagnostic only","observer holdout","observer holdout","M29 warning","singular warnings in WCVI sensitivities","not applicable","supported with qualification","adjusted for registered covariates","selection bias was eliminated","post-exposure visitation and unmeasured site choice may remain","main text","method adjustment cannot establish exchangeability"
"C018","Methods; Reproducibility","M26 v1 was retired without replacement and is not interpreted inferentially.","methodological","model disposition","M26_v1","not applicable","SoG; WCVI","not applicable","outputs/stage4a_publication_sensitivity_v2/model_disposition_v2.csv","historical_model_id=M26","Supplementary Table S1","none","not used","not used","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","robust","retired without replacement","M26 estimates visitation effects","historical artifact remains provenance only","supplement","released summary lacked a registered contrast"
"C019","Discussion","The analysis does not identify population abundance, biomass, occupancy, migration, individual movement, or causal effects.","limitation","claim boundary","all","all","all regions","all","reports/stage4a_publication_claim_boundaries_v2.md","prohibited inference list","none","none","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not estimable","checklist encounter and conditional reported count","population abundance, biomass, occupancy, migration, movement, or causal effect","different designs and assumptions would be required","headline","the fitted estimands do not identify these targets"
"C020","Omit","The study demonstrates a causal effect of herring spawning on regional bird abundance.","limitation","unsupported target estimand","none","all","all regions","all","none","none","none","none","none","none","none","none","none","contradicted by M29 specificity warning","not applicable","not applicable","unsupported","none","causal effect or regional abundance","prohibited throughout","omit","outside the frozen estimand and contradicted by design limitations"
