priority,theme,year,citation,evidence_contribution,project_relevance,analysis_consequence,url
Core,Direct bird response,1981,"Vermeer K. Food and populations of Surf Scoters in British Columbia. Wildfowl 32:107-116.","Diet and population observations; herring eggs became the main food for about three spring weeks.","Early direct evidence for a short species-relevant resource window.","Supports event timing; no new covariate.",https://tidsskrift.dk/Wildfowl/article/view/154183
Core,Direct bird response,1993,"Haegele CW. Seabird predation of Pacific Herring spawn in British Columbia. Canadian Field-Naturalist.","Quantified avian consumption of spawn and identified principal bird predators.","Mechanistic and quantitative foundation.","Interpret local response and predation only.",https://www.canadianfieldnaturalist.ca/
Core,Direct bird response,2002,"Sullivan TM; Butler RW; Boyd WS. Seasonal distribution of waterbirds in relation to spawning Pacific Herring in the Strait of Georgia. Canadian Field-Naturalist 116:366-370.","Dedicated shoreline counts showed a large numerical aggregation during spawn.","Closest precedent for local aggregation and exposed-versus-baseline counts.","Supports M01/M02.",https://doi.org/10.5962/p.363475
Core,Direct bird response,2002,"Rodway MS; Cooke F. Seasonal changes in diet of wintering Harlequin Ducks at a herring spawning site. Journal of Field Ornithology 73:363-371.","Diet evidence links Harlequin Duck use directly to herring spawn.","Supports biological mechanism.","Supporting evidence only.",https://doi.org/10.1648/0273-8570-73.4.363
Core,Direct bird response,2003,"Rodway MS et al. Aggregative response of Harlequin Ducks to herring spawning in the Strait of Georgia. Canadian Journal of Zoology 81:504-514.","Marked birds and counts showed strong aggregation and redistribution.","Supports aggregation redistribution distance and heterogeneity among spawn sites.","Supports M01 and M07-M10.",https://doi.org/10.1139/z03-032
Core,Direct bird response,2007,"Lewis TL; Esler D; Boyd WS. Foraging behaviors of Surf Scoters and White-winged Scoters during spawning of Pacific Herring. Condor 109:216-222.","Scoters changed dive and foraging behavior while using roe.","Supports mechanism and short event window.","Supporting behavior only.",https://www.sfu.ca/biology2/wildberg/papers/lewisetalCondor07.pdf
Core,Direct bird response,2008,"Lok EK; Kirk M; Esler D; Boyd WS. Movements of pre-migratory Surf and White-winged Scoters in response to Pacific Herring spawning. Waterbirds 31:385-393.","Telemetry documented movement beyond ordinary winter ranges toward spawn.","Direct precedent for redistribution and distance-response models.","Supports M07-M10.",https://seaduckjv.org/pdf/studies/Lok%20et%20al%202008%20Movements%20pre-migratory%20surf%20and%20white-winged%20scoters%20herring%20spawn_Waterbirds.pdf
Core,Direct bird response,2012,"Lok EK et al. Spatiotemporal associations between Pacific Herring spawn and Surf Scoter spring migration. MEPS 457:139-150.","Telemetry and aerial surveys showed migratory tracking of spawn phenology.","Supports phenology event timing and resource-wave interpretation.","Supports M05/M23 and redistribution family.",https://doi.org/10.3354/meps09692
Core,Direct bird response,2018,"Kelly JP; Rothenbach K; Weathers WW. Responses of wintering waterbirds to Pacific Herring spawns. MEPS 597.","Lagged spawning biomass improved waterbird abundance forecasts in Tomales Bay.","Supports interannual and lagged sensitivity interpretation.","No required primary change.",https://doi.org/10.3354/meps12594
Supporting,Direct bird response,2022,"Stewart H. Avian and shallow water community response to Pacific Herring spawn events. WWU thesis.","Community counts and exclusion work at Cherry Point.","Broadens regional species and egg-survival context.","Supporting grey literature.",https://cedar.wwu.edu/wwuet/1146/
Supporting,Food-web context,2011,"Thomas AC et al. Harbor seal foraging response to a seasonal resource pulse spawning Pacific Herring. MEPS 441:225-239.","Predator response was not uniformly positive.","Counterexample against assuming every predator aggregates.","Interpretive caution only.",https://doi.org/10.3354/meps09370
Supporting,Food-web context,2015,"Fox CH et al. Novel species interactions: American black bears respond to Pacific Herring spawn. BMC Ecology.","Beach activity and diet increased with egg availability.","Shows cross-ecosystem reach of the pulse.","Interpretation only.",https://doi.org/10.1186/s12898-015-0045-9
Supporting,Food-web context,2018,"Fox CH et al. Pacific Herring spawn events influence nearshore subtidal and intertidal species. MEPS.","Stable-isotope evidence traced herring-derived nutrients through nearshore taxa.","Supports ecosystem-pulse framing.","Interpretation only.",https://doi.org/10.3354/meps12539
Core,Herring measurement,1985,"Haegele CW; Schweigert JF. Distribution and characteristics of herring spawning grounds and description of spawning behaviour. CJFAS.","Foundational synthesis of spawn habitat timing depth and substrate.","Defines the exposure process.","Supports geometry and timing.",https://doi.org/10.1139/f85-261
Core,Herring measurement,1987,"Hay DE; Kronlund AR. Factors affecting the distribution abundance and measurement of Pacific Herring spawn. CJFAS.","Analyzed historical records and spawn measurement.","Observed spawn reflects ecology and survey process.","Supports measurement caveats.",https://doi.org/10.1139/f87-141
