"check_id","category","status","evidence"
"BUILD001","build","PASS","Base-R aggregate package build completed without fitting response models."
"NUM001","numeric","PASS","Singular-fit audit rows=43; expected=43."
"NUM002","numeric","PASS","No M27/M28 component has BH q < 0.05."
"NUM003","numeric","PASS","Authoritative invalid v1 finite-row scope is 6,562."
"NUM004","numeric","PASS","Authoritative invalid v1 family scope is 112."
"NUM005","numeric","PASS","All 162 v2 compatible families are estimable."
"NUM006","numeric","PASS","Both SoG M29 specificity rows are retained and BH-significant."
"DOC001","document","PASS","Abstract word count=276."
"DOC002","document","PASS","Introduction-through-conclusions word count=3944."
"DOC003","document","PASS","Meaningful figure-alt attributes=9; expected=9."
"CITE001","citation","PASS","Unresolved citation keys: "
"CITE002","citation","PASS","Uncited bibliography keys: "
"CITE003","citation","PASS","Citation audit rows=20; bibliography entries=20."
"CITE004","citation","PASS","No verified citation has missing bibliographic information."
"TERM001","terminology","PASS","No unsupported first-study wording."
"TERM002","terminology","PASS","No-effect wording is absent."
"TERM003","terminology","PASS","Checklist-conditional estimand is explicit."
"TERM004","terminology","PASS","Causal non-identification is explicit."
"TERM005","terminology","PASS","M26 is retired without an inferential claim."
"TERM006","terminology","PASS","The non-null SoG specificity panel is in the main manuscript."
"TERM007","terminology","PASS","All 43 singular warnings are disclosed."
"TERM008","terminology","PASS","No 2026+ result is used; protected execution recorded zero such rows."
"TERM009","terminology","PASS","DFO unmonitored state is not a negative."
"PROV001","provenance","PASS","Main figures=5; main tables=3."
"PROV002","provenance","PASS","Supplement figures=4; supplement tables=10."
"PROV003","provenance","PASS","Provenance source hash failures: "
"FREEZE001","freeze","PASS","Unexpected frozen-output changes: "
"PRIV001","privacy","PASS","Protected field-name hits: "
"RENDER001","render","PASS","Missing rendered artifacts: "
"REPO001","repository","PASS","Registry validation."
"REPO002","repository","PASS","Full testthat suite."
"REPO003","repository","PASS","Repository privacy scan."
"GIT001","repository","PASS","git diff --check reported no whitespace errors."
