source_repo,source_sha,source_path,destination_path,asset_classification,action,scientific_assumptions_found,changes_made,restricted_field_scan,machine_path_scan,tests_added_or_updated,review_status,notes
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,DESCRIPTION,DESCRIPTION,infrastructure,generalized,V1 dependency set and package metadata,Reduced to outcome-blind V2 runtime and test dependencies,pass,pass,package load and CI,pinned_reviewed,No V1 package identity copied
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,NAMESPACE,NAMESPACE,infrastructure,generalized,V1 export convention,Retained generic export pattern only,pass,pass,package load,pinned_reviewed,None
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,.Rprofile,.Rprofile,infrastructure,generalized,renv activation,Retained project-local activation only,pass,pass,CI restore,pinned_reviewed,None
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,renv.lock,,infrastructure,rejected,V1 fitted-analysis dependency closure,Did not copy; V2 lockfile resolved independently,pass,pass,renv consistency,pinned_reviewed,Avoids inheriting outcome-stage packages blindly
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,_targets.R,_targets.R,infrastructure,generalized,V1 end-to-end analysis graph,Rebuilt through metadata and outcome-blind design gate only,pass,pass,targets graph smoke test,pinned_reviewed,No fitted targets retained
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,scripts/00_setup.R,scripts/00_setup.R,infrastructure,generalized,V1 interactive install workflow,Rebuilt noninteractive renv setup,pass,pass,CI restore,pinned_reviewed,None
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,R/config.R,R/config.R,generic_r,generalized,V1 path and manual-gate conventions,Replaced paths with protected environment variables and metadata-only gate,pass,pass,config fixtures,pinned_reviewed,None
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,R/input_manifest.R,R/input_manifest.R,generic_r,generalized,V1 file and shapefile-bundle hash convention,Retained aggregate checksums without persisted paths,pass,pass,manifest and bundle fixtures,pinned_reviewed,None
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,R/join_assertions.R,R/join_assertions.R,generic_r,generalized,V1 cardinality assertions,Added explicit declared relationship and row accounting,pass,pass,join-cardinality fixtures,pinned_reviewed,None
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,R/qa_logging.R,R/qa_logging.R,generic_r,generalized,V1 aggregate QA record shape,Reimplemented aggregate-only QA logging,pass,pass,privacy scan,pinned_reviewed,No row examples are logged
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,R/model_cache.R,,generic_r,rejected,Fitted-model cache conventions,Not ported because fitted objects are forbidden and outside gate,pass,pass,denylist scan,pinned_reviewed,None
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,R/model_engine_audit.R,,generic_r,rejected,Outcome model engine fallback logic,Not ported because no outcome models may be fit,pass,pass,outcome-gate test,pinned_reviewed,None
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,R/setup_status.R,docs/v1_reference/assumption_crosswalk.md,generic_r,reference_only,V1 setup checkpoint semantics,Recorded as reference; replaced by CI and setup audit,pass,pass,setup audit render,pinned_reviewed,None
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,R/ebird_ingestion.R,R/ebird_ingestion.R,ebird,generalized,Header maps exact keys and release pairing,Rebuilt schema-only header and many-to-one validation,pass,pass,header and key fixtures,pinned_reviewed,No source rows copied
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,R/ebird_processing.R,R/ebird_ingestion.R,ebird,generalized,Five-species period and envelope assumptions,Retained shared-checklist and zero-fill logic but removed focal restrictions,pass,pass,shared-checklist and zero-fill fixtures,pinned_reviewed,Count states remain distinct
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,R/species_curation.R,R/ebird_ingestion.R,taxonomy,generalized,V1 taxonomy allocation rules,Retained explicit approved mapping and ambiguity behavior,pass,pass,taxonomy fixtures,pinned_reviewed,None
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,R/species_finalization.R,R/species_registry.R,taxonomy,generalized,V1 registry finalization gates,Rebuilt outcome-blind registry readers and foreign-key guards,pass,pass,registry tests,pinned_reviewed,No effect-dependent support imported
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,metadata/species_crosswalk.csv,metadata/source_taxonomy_crosswalk.csv,taxonomy,copied,Versioned source concept decisions,Copied exact pinned taxonomy evidence under descriptive filename,pass,pass,crosswalk uniqueness,pinned_reviewed,Exact-copy hash verified separately
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,metadata/analysis_taxa.csv,metadata/canonical_species_registry.csv,taxonomy,reference_only,Legacy support and exclusion fields,Used only to reconcile identifiers and audit states; row-level support metrics not copied,pass,pass,species reconciliation,pinned_reviewed,Hooded Merganser and Clark's Grebe remain review-only
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,metadata/guild_membership.csv,metadata/canonical_guild_registry.csv,taxonomy,reference_only,V1 guild labels and membership,Mechanisms reconciled to eight V2 biological guilds,pass,pass,guild foreign keys,pinned_reviewed,Excluded audit is a status rather than guild
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,metadata/ambiguous_taxon_rules.csv,metadata/ambiguous_taxon_rules.csv,taxonomy,copied,Approved ambiguity allocation and zero-fill rules,Copied exact pinned audit rules,pass,pass,ambiguity uniqueness,pinned_reviewed,Exact-copy hash verified separately
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,R/herring_event_engineering.R,R/herring_event_engineering.R,herring_spatial,generalized,Seventeen fields and universal quality exclusion,Retained source fields and replaced universal exclusion with quality tiers and complexes,pass,pass,herring fixtures,pinned_reviewed,Missing components are not zero
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,R/spatial_linkage.R,R/spatial_linkage.R,herring_spatial,generalized,WGS84 source and BC Albers analysis CRS,Retained explicit CRS transform and kilometre assertions,pass,pass,CRS fixtures,pinned_reviewed,None
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,R/spatiotemporal_linkage.R,R/exposure_surfaces.R,herring_spatial,generalized,One-link and fixed-envelope assumptions,Rebuilt all-event membership and additive exposure with prespecified windows,pass,pass,multi-event fixtures,pinned_reviewed,Duplicated links are not independent observations
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,docs/03_QAQC.md,docs/v1_reference/assumption_crosswalk.md,documentation,reference_only,V1 QA hard stops,Scientifically valid rules mapped to V2 decision document,pass,pass,documentation scan,pinned_reviewed,None
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,docs/06_DATA_SCHEMA.md,docs/v1_reference/assumption_crosswalk.md,documentation,reference_only,V1 source schema,Schema evidence referenced without copying restricted examples,pass,pass,schema tests,pinned_reviewed,None
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,docs/07_LITERATURE_ANCHORS.md,docs/v1_reference/assumption_crosswalk.md,documentation,reference_only,V1 literature anchors,Retained only anchors still compatible with V2 framework,pass,pass,documentation scan,pinned_reviewed,Scientific decisions remain provisional
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,tests/testthat/test-config.R,tests/testthat/test-config.R,test,generalized,V1 config expectations,Rebuilt for environment-only raw paths,pass,pass,fixture CI,pinned_reviewed,None
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,tests/testthat/test-ebird-ingestion.R,tests/testthat/test-ebird-ingestion.R,test,generalized,V1 ingestion fixtures,Expanded count states shared lists joins and bounds,pass,pass,fixture CI,pinned_reviewed,Fixtures use synthetic identifiers
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,tests/testthat/test-herring-event-engineering.R,tests/testthat/test-herring-event-engineering.R,test,generalized,V1 event fixtures,Expanded field preservation quality and complex tests,pass,pass,fixture CI,pinned_reviewed,Synthetic metadata only
JTDingwall/ebird_herring_analysis,f3387d58f6d55a070b86f41ef41e11512dcf7688,tests/testthat/test-herring-orchestrator-integration.R,tests/testthat/test-spatial-exposure.R,test,generalized,V1 end-to-end linkage fixture,Reduced to outcome-blind spatial and exposure integration,pass,pass,fixture CI,pinned_reviewed,No bird response fixture values
