"requested_analysis","status","exact_input_and_model","estimand","sample_and_event_support","output_path","qa_status","principal_caveat","could_change_manuscript_wording"
"Verified inventory and support","completed","Frozen through-2025 SoG event-study frame and link inventory","Privacy-safe population and link support","217,200 checklists; 1,120 source events; 58 blocks","verified_dataset_totals.csv; period_zone_support.csv; event_link_distribution.csv","PASS","Nonexclusive link cells; privacy suppression","yes"
"Direct active-minus-pre A14 and A7 contrasts","completed","49-species primary models; full fixed-effect covariance; A14 primary and A7 secondary","Difference between duration-weighted active and pre14 baseline-adjusted near/reference link associations","49 species; reporting 48 estimable; count 46 estimable","active_minus_pre_contrasts.csv","PASS","Post-result exploratory; event-linked association, not causal","yes"
"Dependence-aware family timing test","partial","Shared checklist-by-species outcomes clustered by 58 event blocks","Cross-species family shift preserving dependence","58 blocks; cross-species response vectors required","family_timing_summary.csv","DESCRIPTIVE_ONLY","Species estimates are dependent; no independence meta-analysis","yes"
"Observed absolute summaries","completed","Frozen materialized species states by six periods and two zones","Observed unadjusted reporting and positive finite numeric summaries","217,200 checklist frame; cells <20 suppressed","observed_summaries.csv; finite_vs_x_observed_summary.csv","PASS","Observed cells are nonexclusive and unadjusted","yes"
"Adjusted absolute predictions","completed","Primary fixed effects; population-level predictions under standardized and observed-covariate configurations","Population-level absolute association under one additional joint link","48 reporting and 46 conditional-count models","absolute_predictions.csv","PASS","Random intercepts set to zero; conditional model population stated","yes"
"Finite numeric versus X observation process","completed","Reported unambiguous numeric/X states; primary joint exposure and adjustment structure","Finite numeric assignment versus X among eligible reports","49 species; 41 estimable models","finite_vs_x_results.csv; model_diagnostics.csv","PASS","Thirty singular warnings; no BH-significant A14; assignment direction is not known bias","yes"
"nAGQ=1 representative reporting refits","infeasible","Warm-started lme4 Laplace reporting GLMM","Stability of A14 under alternative engine/distribution","Existing Iceland Gull probe exceeded one hour","sensitivity/S2_nAGQ1_note.md","INFEASIBLE_EXISTING_PROBE","No Laplace estimate available","yes"
"glmmTMB representative reporting refits","partial","Equivalent binomial GLMM with three crossed random intercepts","Stability of A14 under alternative engine/distribution","1 of 3 frozen species completed","engine_validation_results.csv if available","SEE_ENGINE_LOG","Installation and 30-minute wall-time feasibility govern","yes"
"Zero-truncated negative-binomial representative count refits","partial","Positive numeric counts; mixed zero-truncated NB2 with the primary random effects","Stability of A14 under alternative engine/distribution","1 of 3 frozen species completed","engine_validation_results.csv if available","SEE_ENGINE_LOG","Fixed-effect-only truncated model is not equivalent","yes"
"Binary any-link sensitivity","completed","All 12 joint counts replaced by 0/1","Stability of A14 under frozen exposure/cohort change","See sensitivity_support.csv","sensitivity_comparisons.csv; sensitivity_support.csv","SEE_COMPONENT_OUTPUT","Sensitivity is exploratory and retains failures/nulls","yes"
