specification_id,model_ids,analysis_unit,response,primary_family,parallel_sensitivity,population,regions,validation,prediction_rule,multiplicity,execution_status
S4A01,M01|M11|M12,frozen_primary_guild,detection|positive_numeric_count,binomial_logit|lognormal_log_link,zero_truncated_NB2,candidate_primary_5km,SoG_2005_primary|WCVI_2015_candidate|CC_NA_hierarchical_descriptive,4_fold_event_blocked,population_level_observer_location,BH_within_guild_outcome_family,locked_not_yet_executed
S4A02,M02|M11|M12,frozen_named_species_core,detection|positive_numeric_count,binomial_logit|lognormal_log_link,zero_truncated_NB2,candidate_primary_5km,SoG_2005_primary|WCVI_2015_candidate|CC_NA_hierarchical_descriptive,4_fold_event_blocked,population_level_observer_location,BH_within_species_outcome_family,locked_not_yet_executed
S4A03,M05,frozen_primary_guild|frozen_named_species_core,event_time_by_source_point_distance,binomial_logit|lognormal_log_link,zero_truncated_NB2,candidate_primary_5km,SoG_2005_primary|WCVI_2015_candidate|CC_NA_hierarchical_descriptive,4_fold_event_blocked,population_level_observer_location,BH_within_taxon_outcome_family,locked_not_yet_executed
S4A04,M08,frozen_primary_guild|frozen_named_species_core,active_near_vs_contemporaneous_reference,binomial_logit|lognormal_log_link,zero_truncated_NB2,candidate_primary_5km,SoG_2005_primary|WCVI_2015_candidate|CC_NA_hierarchical_descriptive,4_fold_event_blocked,population_level_observer_location,BH_within_taxon_outcome_family,locked_not_yet_executed
S4A05,M26,checklist_metadata,birder_visitation_count,negative_binomial,none,candidate_primary_5km,SoG_2005_primary|WCVI_2015_candidate,4_fold_event_blocked,population_level_observer_location,diagnostic_no_biological_family,locked_not_yet_executed
S4A06,M27,frozen_primary_guild|frozen_named_species_core,false_date_placebo_response,matched_primary_family,matched_NB2,candidate_primary_5km,SoG_2005_primary|WCVI_2015_candidate,4_fold_event_blocked,population_level_observer_location,BH_within_taxon_outcome_family,locked_not_yet_executed
S4A07,M28,frozen_primary_guild|frozen_named_species_core,false_location_placebo_response,matched_primary_family,matched_NB2,candidate_primary_5km,SoG_2005_primary|WCVI_2015_candidate,4_fold_event_blocked,population_level_observer_location,BH_within_taxon_outcome_family,locked_not_yet_executed
S4A08,M29,Gadwall|Northern_Shoveler,detection,frozen_specificity_panel,none,candidate_primary_5km,SoG_2005_primary|WCVI_2015_candidate,4_fold_event_blocked,population_level_observer_location,BH_within_specificity_detection_family,locked_not_yet_executed
S4A09,M32,frozen_named_species_core,numeric_vs_X_given_detection,binomial_logit,none,candidate_primary_5km,SoG_2005_primary|WCVI_2015_candidate,4_fold_event_blocked,population_level_observer_location,BH_within_species_missingness_family,locked_not_yet_executed
S4A10,M40,observer_region_year,checklist_richness|reporting_process,negative_binomial|binomial_logit,none,candidate_primary_5km,SoG_2005_primary|WCVI_2015_candidate,observer_disjoint_robustness_only,population_level_observer_location,diagnostic_no_biological_family,locked_not_yet_executed
S4A11,WCVI_REQUIRED_ROBUSTNESS,WCVI_2015,event_blocked|observer_disjoint|dominant_observer_holdout,matched_primary_family,matched_NB2,candidate_primary_5km,WCVI_2015_candidate,4_fold_event_blocked_and_observer_robustness,population_level_observer_location,matched_primary_family,locked_not_yet_executed
S4A12,SPATIAL_PRECISION_SENSITIVITY,frozen_activated_units,detection|positive_numeric_count,matched_primary_family,matched_NB2,high_precision_2km,SoG_2005_primary|WCVI_2015_candidate,4_fold_event_blocked,population_level_observer_location,matched_primary_family,locked_not_yet_executed
