ID,Priority,Analysis,Outcome,Technical plan,Lay summary
A01,core,Sampling and metadata atlas,checklist/event metadata,"Map effort, dates, protocols, observers, localities, sections, event quality, and missingness before looking at bird effects.",Shows where the data are strong enough to answer questions and where they are not.
A02,core,Count-quality audit,"numeric, X, lower-bound, heaped, extreme counts","Quantify count availability, rounding/heaping, duplicated shared-checklist disagreements, and upper-tail influence by species and guild.",Checks whether a reported flock of 500 can be compared fairly with a report of X or 5.
A03,core,Exposure support atlas,event day × distance × region × year,"Count independent events, checklists, observers, and localities in every proposed time-distance cell before modelling.",Prevents fitting impressive-looking curves where almost no data exist.
B01,core,Species encounter model,detection/non-detection,"Binomial GAMM/GLMM with event time, distance, effort, observer, locality, year, and calendar controls.",Asks whether a species is more likely to appear on a complete checklist near spawn.
B02,core,Species hurdle model,detection + positive reported count,Two-part model: probability of detection and flock size conditional on a numeric report.,Separates ‘does it show up?’ from ‘how many are there when it does?’
B03,supporting,Zero-inclusive count model,reported count including zeros,"Negative-binomial, generalized Poisson, or Tweedie benchmark selected by simulation diagnostics.",Provides one overall count response while checking whether one distribution can handle many zeros and huge flocks.
B04,supporting,Ordinal flock-size model,"0, 1, 2–5, 6–20, 21–100, >100, X",Cumulative-link model robust to heaping and extreme numerical counts.,Tests whether large flocks become more common without pretending every count is exact.
B05,exploratory,Upper-tail aggregation model,large-flock exceedance / extreme counts,"Threshold exceedance, quantile, or generalized Pareto sensitivity for well-supported taxa.",Targets spectacular aggregations that ordinary averages can hide.
C01,core,Guild hurdle models,guild detection and positive total count,Mechanistic guild totals with species contribution audits and leave-one-species-out checks.,Tests whether groups such as roe-diving ducks or gulls respond even when individual species are noisy.
C02,core,Total herring-associated bird count,sum of supported reported counts,Tweedie/NB/hurdle model with dominant-species decomposition.,Asks the broad question: are more herring-associated birds recorded near spawning events?
C03,core,Guild/species richness,number of detected taxa,Poisson/NB or occupancy-adjusted richness with effort controls.,"Tests whether spawn attracts a more diverse bird assemblage, not only more individuals."
C04,supporting,Diversity and evenness,Hill numbers / Shannon / Simpson,Checklist-level and event-area diversity with sample-size and effort standardization.,Distinguishes a genuinely diverse gathering from one giant flock of a single species.
D01,core,Categorical event study,"pre, spawn, egg, post periods",Non-overlapping event-time bins with simultaneous calendar controls and event-cluster uncertainty.,"Shows when the response begins, peaks, and fades."
D02,core,Continuous event-time trajectory,smooth response over days from spawn,Restricted low-rank smooth or distributed-lag model inside supported periods.,Avoids forcing the biological response into one arbitrary two-week box.
D03,supporting,Timing uncertainty model,start/end/midpoint/interval-jittered event dates,Repeated imputation or latent date interval sensitivity.,Acknowledges that the recorded date may not be the exact day birds first respond.
E01,core,Concentric distance-ring model,"0–1, 1–2, 2–3, 3–4, 4–5, 5–10, 10–20 km",Ring-specific event-time effects with support and spatial-precision checks.,Directly answers how close birds need to be to spawn for the signal to appear.
E02,core,Continuous distance-decay model,smooth or monotone distance response,"Log-distance smooth or monotonic effect, with protocol-specific spatial precision.",Estimates how rapidly the response weakens with distance rather than choosing only one radius.
E03,core,Time × distance response surface,2-D event-day/distance surface,Tensor-product GAM or spatial-temporal field restricted to well-supported cells.,"Shows whether the response is brief and very local, or broader and longer-lasting."
E04,supporting,Cumulative multi-event exposure,weighted exposure to all concurrent events,"Distance-decay kernels summed over overlapping events, with alternative bandwidths.",Handles coastlines where birds may be responding to several nearby spawns at once.
E05,supporting,Spawn-footprint sensitivity,"point, length-based shoreline segment, event complex",Compare point distance with conservative extent buffers and shoreline-linked exposure.,Checks whether a long spawn was wrongly represented by one point.
