model_id,priority,model_family,level,response,scientific_question,unit,design_terms,candidate_engine,supports_hypothesis_if,main_limitations,status
M01,core,guild hurdle GAMM,guild,detection + positive reported count,Do guilds aggregate near spawn through time?,checklist × guild,event-time spline × distance ring; effort; calendar; event/location/observer RE,mgcv + glmmTMB,positive active/egg count effect and plausible timing/distance decay,count heaping; preferential visitation,registered_not_fitted
M02,core,species hurdle GAMM,species,detection + positive reported count,Which species drive guild responses?,checklist × species,species-specific event-time and distance; effort; observer/location/event,glmmTMB or brms,positive count and/or encounter effect with coherent trajectory,many species; sparse taxa,registered_not_fitted
M03,core,total herring-associated count,community,summed reported count,Does the total number of associated birds increase?,checklist,Tweedie/NB response; event-time × distance; effort and observation effects,glmmTMB,higher expected total count near active/egg window,dominant species and count uncertainty,registered_not_fitted
M04,core,guild richness model,community,number of detected guild species,Does assemblage richness increase?,checklist,binomial/COM-Poisson richness; event-time × distance,glmmTMB,higher richness near spawn,richness depends on checklist effort,registered_not_fitted
M05,core,distance-ring event study,guild/species,count and detection,At what radius is the response strongest?,checklist-event,"rings 0-1,1-2,2-3,3-4,4-5,5-10,10-20 km × event periods",fixest/glmmTMB,ordered positive effects near spawn that attenuate with distance,ring support and geometry error,registered_not_fitted
M06,core,distance × event-time surface,guild/species,count and detection,What is the continuous spatiotemporal response surface?,checklist-event,restricted tensor smooth of days and footprint distance,mgcv::bam or sdmTMB,positive supported surface centered on event,calendar collinearity and sparse 2D cells,registered_not_fitted
M07,core,regional allocation model,guild/species,zone count share,Do birds move from comparison zones toward spawn zones?,event-day-zone,multinomial/Dirichlet-multinomial allocation conditional on regional total,brms/cmdstanr,higher active-period share in near-spawn zones and lower far-zone share,effort denominators and observer turnover,registered_not_fitted
M08,core,near-far mass-balance model,guild/species,expected count by near/far/region,Is local increase redistribution or regional influx?,region-day-zone,"joint near, far, total trajectories with effort offsets/covariates",glmmTMB/brms,near rises; far falls implies redistribution; regional total rise implies influx,regional coverage and changing checklist effort,registered_not_fitted
M09,core,repeated-location fixed-effects panel,guild/species,count and detection,Does the same eBird locality change in spawn vs nonspawn years/dates?,location-day/year,location FE + year/date FE + local event exposure,fixest,within-location positive exposure effect,temporary treatment and uneven repeated coverage,registered_not_fitted
M10,core,same-observer matched model,guild/species,count and detection,Does a repeated observer record more birds at spawn-exposed sites?,observer-event/date matched set,conditional logistic/count model within observer and calendar strata,survival::clogit / fixest,positive within-observer difference,restricted transportability,registered_not_fitted
M11,supporting,encounter GAMM,species/guild,detection,Does probability of any report change?,checklist,binomial GAMM with observation-process terms,mgcv,positive encounter effect,can miss aggregation if prevalence already high,registered_not_fitted
M12,supporting,positive-count lognormal model,species/guild,log1p positive numeric count,Does flock size increase when present?,positive numeric detections,Gaussian/lognormal mixed model,glmmTMB/mgcv,positive active/egg effect,conditions on detection,registered_not_fitted
M13,supporting,full count NB/Tweedie model,species/guild,zero-inclusive numeric count,Can one distribution capture occurrence and flock size?,checklist,"NB, ZINB, or Tweedie compared by diagnostics",glmmTMB,positive marginal mean effect,X counts and heavy tails,registered_not_fitted
M14,supporting,ordinal flock-size model,species/guild,"0,1,2-5,6-20,21-100,>100,X",Are large flocks more likely near spawn?,checklist,cumulative-link mixed model,ordinal/brms,shift toward larger categories,threshold choices,registered_not_fitted
M15,supporting,event-complex sensitivity,all,same as core outcomes,Does source-record fragmentation dilute effects?,checklist-event complex,"compare source rows with 1km/3d,2km/7d,5km/14d complexes",same engines as core,stronger/coherent effects for biological complexes,complex definition uncertainty,registered_not_fitted
M16,supporting,spawn-footprint distance sensitivity,all,same as core outcomes,Does point geometry misclassify long spawns?,checklist-event,point distance vs shoreline anchor vs length/width uncertainty footprint,mgcv/glmmTMB,response aligns better with footprint-adjusted distance,unknown event orientation,registered_not_fitted
M17,supporting,multi-event exposure kernel,all,count and detection,How does exposure to all concurrent events combine?,checklist-date,"sum of distance-decayed, time-weighted event exposures",mgcv/brms,positive exposure-response across kernels,kernel choice and correlated events,registered_not_fitted
M18,supporting,intensity dose-response,species/guild,count and detection,Do stronger spawn records generate larger responses?,checklist-event,event-time effect × standardized relative index,mgcv/brms,positive interaction within comparable records,component incompleteness,registered_not_fitted
M19,supporting,component-quality intensity model,species/guild,count and detection,Can survey components/method be combined without treating missing as zero?,event/checklist,component-specific effects or latent intensity with method and component count,brms/cmdstanr,positive latent/intensity modifier,measurement model assumptions,registered_not_fitted
M20,supporting,trait-based second-stage hierarchy,species,first-stage effect estimates,Do mechanisms explain species heterogeneity?,species estimate,"meta-regression on guild, foraging mode, mobility, marine dependence",brms,positive mean and stronger roe-feeder effects,cross-species covariance must be retained,registered_not_fitted
