"analysis","analysis_taxon_id","species","outcome","exposure_encoding","engine","model_formula","n","event_blocks","observer_clusters","generalized_locations","status","converged","singular_fit","rank_deficient","optimizer_code","convergence_message","maximum_absolute_gradient","event_block_variance","observer_variance","location_variance","residual_variance","valid_biological_result","failure_reason","previously_identified_failure_species","failed_component_is_not_null_result"
"primary_additive_link_and_finite_vs_x","atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","all concurrent event links retained additively","lme4_glmer_nAGQ0","checklist-reporting indicator [model_response] ~ es_near_baseline + es_reference_baseline + es_near_early_pre + es_reference_early_pre + es_near_immediate_pre + es_reference_immediate_pre + es_near_spawn_start + es_reference_spawn_start + es_near_early_egg + es_reference_early_egg + es_near_late_egg + es_reference_late_egg + factor(checklist_year) + protocol + log_duration + log_effort_distance + observer_count + (1|event_block_token) + (1|observer_cluster_token) + (1|location_cluster_token)",217200,58,29248,22980,"completed",TRUE,FALSE,FALSE,0,"",,0.230008615277079,0.213659695825484,4.94372011240861,,TRUE,"",FALSE,FALSE
"primary_additive_link_and_finite_vs_x","atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","all concurrent event links retained additively","lme4_lmer_REML","log(positive numeric reported count) [model_response] ~ es_near_baseline + es_reference_baseline + es_near_early_pre + es_reference_early_pre + es_near_immediate_pre + es_reference_immediate_pre + es_near_spawn_start + es_reference_spawn_start + es_near_early_egg + es_reference_early_egg + es_near_late_egg + es_reference_late_egg + factor(checklist_year) + protocol + log_duration + log_effort_distance + observer_count + (1|event_block_token) + (1|observer_cluster_token) + (1|location_cluster_token)",20340,54,4798,2045,"completed",TRUE,FALSE,FALSE,0,"",0.0415642352891155,0.0407597026802645,0.0175589354110765,0.0681200006305191,0.435541061531446,TRUE,"",FALSE,FALSE
"primary_additive_link_and_finite_vs_x","atx_04cf65098f13","Red-throated Loon","checklist_reporting","all concurrent event links retained additively","lme4_glmer_nAGQ0","checklist-reporting indicator [model_response] ~ es_near_baseline + es_reference_baseline + es_near_early_pre + es_reference_early_pre + es_near_immediate_pre + es_reference_immediate_pre + es_near_spawn_start + es_reference_spawn_start + es_near_early_egg + es_reference_early_egg + es_near_late_egg + es_reference_late_egg + factor(checklist_year) + protocol + log_duration + log_effort_distance + observer_count + (1|event_block_token) + (1|observer_cluster_token) + (1|location_cluster_token)",217200,58,29248,22980,"completed",TRUE,FALSE,FALSE,0,"",,0.39248826341286,1.20954671881361,7.7190957653702,,TRUE,"",TRUE,FALSE
"primary_additive_link_and_finite_vs_x","atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","all concurrent event links retained additively","lme4_lmer_REML","log(positive numeric reported count) [model_response] ~ es_near_baseline + es_reference_baseline + es_near_early_pre + es_reference_early_pre + es_near_immediate_pre + es_reference_immediate_pre + es_near_spawn_start + es_reference_spawn_start + es_near_early_egg + es_reference_early_egg + es_near_late_egg + es_reference_late_egg + factor(checklist_year) + protocol + log_duration + log_effort_distance + observer_count + (1|event_block_token) + (1|observer_cluster_token) + (1|location_cluster_token)",1488,48,668,329,"completed",TRUE,FALSE,FALSE,0,"",0.00556478880753275,0.0162544044716838,0.0413134060924552,0.0352382350243631,0.430927573304538,TRUE,"",TRUE,FALSE
"primary_additive_link_and_finite_vs_x","atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","all concurrent event links retained additively","lme4_glmer_nAGQ0","checklist-reporting indicator [model_response] ~ es_near_baseline + es_reference_baseline + es_near_early_pre + es_reference_early_pre + es_near_immediate_pre + es_reference_immediate_pre + es_near_spawn_start + es_reference_spawn_start + es_near_early_egg + es_reference_early_egg + es_near_late_egg + es_reference_late_egg + factor(checklist_year) + protocol + log_duration + log_effort_distance + observer_count + (1|event_block_token) + (1|observer_cluster_token) + (1|location_cluster_token)",217200,58,29248,22980,"completed",TRUE,FALSE,FALSE,0,"",,1.98529858033744,0.85245002785175,4.09203426344412,,TRUE,"",FALSE,FALSE
"primary_additive_link_and_finite_vs_x","atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","all concurrent event links retained additively","lme4_lmer_REML","log(positive numeric reported count) [model_response] ~ es_near_baseline + es_reference_baseline + es_near_early_pre + es_reference_early_pre + es_near_immediate_pre + es_reference_immediate_pre + es_near_spawn_start + es_reference_spawn_start + es_near_early_egg + es_reference_early_egg + es_near_late_egg + es_reference_late_egg + factor(checklist_year) + protocol + log_duration + log_effort_distance + observer_count + (1|event_block_token) + (1|observer_cluster_token) + (1|location_cluster_token)",4549,45,1366,602,"completed",TRUE,FALSE,FALSE,0,"",0.034436525311321,0.074453169078746,0.103431316046488,0.164098305154483,0.900842116446596,TRUE,"",FALSE,FALSE
"primary_additive_link_and_finite_vs_x","atx_1328b44be502","Black Scoter","checklist_reporting","all concurrent event links retained additively","lme4_glmer_nAGQ0","checklist-reporting indicator [model_response] ~ es_near_baseline + es_reference_baseline + es_near_early_pre + es_reference_early_pre + es_near_immediate_pre + es_reference_immediate_pre + es_near_spawn_start + es_reference_spawn_start + es_near_early_egg + es_reference_early_egg + es_near_late_egg + es_reference_late_egg + factor(checklist_year) + protocol + log_duration + log_effort_distance + observer_count + (1|event_block_token) + (1|observer_cluster_token) + (1|location_cluster_token)",217178,58,29246,22978,"completed",TRUE,FALSE,FALSE,0,"",,2.08042064773473,0.459300946668282,9.32497616745011,,TRUE,"",FALSE,FALSE
"primary_additive_link_and_finite_vs_x","atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","all concurrent event links retained additively","lme4_lmer_REML","log(positive numeric reported count) [model_response] ~ es_near_baseline + es_reference_baseline + es_near_early_pre + es_reference_early_pre + es_near_immediate_pre + es_reference_immediate_pre + es_near_spawn_start + es_reference_spawn_start + es_near_early_egg + es_reference_early_egg + es_near_late_egg + es_reference_late_egg + factor(checklist_year) + protocol + log_duration + log_effort_distance + observer_count + (1|event_block_token) + (1|observer_cluster_token) + (1|location_cluster_token)",1684,42,688,406,"completed",TRUE,FALSE,FALSE,0,"",0.00332696345139993,0.31099806451424,0.0938719523931343,0.29834166320849,1.37301868176454,TRUE,"",FALSE,FALSE
"primary_additive_link_and_finite_vs_x","atx_136b0e66254b","Common Murre","checklist_reporting","all concurrent event links retained additively","lme4_glmer_nAGQ0","checklist-reporting indicator [model_response] ~ es_near_baseline + es_reference_baseline + es_near_early_pre + es_reference_early_pre + es_near_immediate_pre + es_reference_immediate_pre + es_near_spawn_start + es_reference_spawn_start + es_near_early_egg + es_reference_early_egg + es_near_late_egg + es_reference_late_egg + factor(checklist_year) + protocol + log_duration + log_effort_distance + observer_count + (1|event_block_token) + (1|observer_cluster_token) + (1|location_cluster_token)",217200,58,29248,22980,"completed",TRUE,FALSE,FALSE,0,"",,1.17411264987823,1.46174902825938,12.8761188295182,,TRUE,"",FALSE,FALSE
"primary_additive_link_and_finite_vs_x","atx_136b0e66254b","Common Murre","conditional_positive_numeric_count","all concurrent event links retained additively","lme4_lmer_REML","log(positive numeric reported count) [model_response] ~ es_near_baseline + es_reference_baseline + es_near_early_pre + es_reference_early_pre + es_near_immediate_pre + es_reference_immediate_pre + es_near_spawn_start + es_reference_spawn_start + es_near_early_egg + es_reference_early_egg + es_near_late_egg + es_reference_late_egg + factor(checklist_year) + protocol + log_duration + log_effort_distance + observer_count + (1|event_block_token) + (1|observer_cluster_token) + (1|location_cluster_token)",2023,41,844,485,"completed",TRUE,FALSE,FALSE,0,"",0.00390823061025003,0.1500154212087,0.14032604763257,0.296023376882632,1.94233601784963,TRUE,"",FALSE,FALSE
