model_id,priority,model_family,level,response,scientific_question,unit,design_terms,candidate_engine,supports_hypothesis_if,main_limitations,status
M34,supporting,pairwise null-adjusted cooccurrence,species_pair,co-detection association,"Do species co-occur more than expected after prevalence, effort, season, and checklist richness are controlled?",checklist_species_pair,"stratified null permutations; Jaccard; phi; odds ratio; prevalence- and richness-preserving randomization",custom R + cooccur/vegan,"positive excess association strengthens during spawn/egg periods or near rings","shared habitat and residual reporting bias do not prove social attraction",proposed_not_fitted
M35,core,detection-first JSDM or GLLVM,community,species detection matrix,"Which species share herring responses and which remain conditionally associated after environmental adjustment?",checklist_species,"species-specific event-time/distance/intensity effects; effort; observer; location; event; year; multiple latent factors",gllvm/Hmsc/sjSDM/boral,"community-level herring response plus stable residual association structure","computational scale; latent-factor interpretation; package limits",proposed_not_fitted
M36,supporting,differential residual association,community,residual covariance or correlation,"Does mixed-species association change by event phase or distance from spawn?",phase_ring_species_pair,"compare rotation-invariant residual correlation matrices across frozen phase and ring subsets; event bootstrap",JSDM posterior summaries + custom R,"mean positive residual association or selected pair associations increase near active spawn","subset support and multiplicity",proposed_not_fitted
M37,exploratory,mixed-species network analysis,community,association network,"Does the bird community become more connected, clustered, or guild-structured near spawn?",phase_ring_network,"stable residual edges; modularity; clustering; assortativity; guild mixing; bootstrap network stability",igraph + JSDM residuals,"network connectivity or cross-guild aggregation increases during spawn","network thresholds and unstable edges",proposed_not_fitted
M38,core,bird-weighted distance and concentration,guild/species,"bird-weighted mean distance; near-zone share; spatial entropy/Gini","Do observed birds concentrate spatially around spawning events even when regional totals are stable?",event_day_region,"counts and effort by zone; bird-weighted distance; concentration indices; event/calendar controls",fixest/glmmTMB/brms,"mean distance declines and near-zone share/concentration rises during spawn","uneven spatial checklist coverage and count error",proposed_not_fitted
M39,supporting,upper-tail flock-size and exceedance model,guild/species,"P(count≥threshold); conditional quantiles","Are exceptionally large flocks more likely near spawn?",checklist,"registered thresholds; quantile or hurdle exceedance models; event/observer/location structure",brms/quantreg/glmmTMB,"upper-tail probability and high quantiles rise near spawn","threshold choice; extreme count influence",proposed_not_fitted
M40,diagnostic,observer richness and count-reporting process,observation_process,"checklist richness; numeric-vs-X; media/review flags","Do conspicuous mixed flocks or spawn awareness change how observers search and report?",checklist,"effort and prior skill; spawn exposure; locality; observer; event; calendar",glmmTMB/mgcv,"ecological results remain after reporting-process diagnostics; differential reporting is quantified","observer intent and unobserved choice set",proposed_not_fitted
M41,exploratory,behaviour and age-sex composition substudy,species,"feeding/foraging indicator; age-sex composition","Where metadata support it, do feeding behaviour or demographic composition change near spawn?",reported_detection,"species-specific parsing audit; event-time/distance; observer and reporting controls",brms/glmmTMB/custom parser,"feeding codes or relevant demographic shares increase during spawn","sparse and inconsistent semi-structured fields",proposed_not_fitted
M42,diagnostic,comment-awareness exclusion sensitivity,observation_process,"spawn-aware checklist flag; core outcomes excluding aware checklists","Are results driven by checklists whose comments explicitly mention herring, spawn, roe, or milt?",checklist,"local untracked text classifier; exclusion/stratified sensitivity; no raw text persisted",local regex/NLP + core engines,"bird effects persist when explicitly spawn-aware checklists are excluded","comments are incomplete and post-exposure; privacy",proposed_not_fitted
M43,supporting,section-year distributed-lag panel,guild/species,"seasonal encounter/count index","Do annual local spawn indices predict same-year or lagged bird use beyond event windows?",section_year_season,"section and year fixed effects; current and lagged relative spawn index; survey era/method; effort-standardized bird index",fixest/mgcv/brms,"positive same-year or lagged association in biologically plausible guilds","coarse scale; changing eBird coverage; spawn measurement comparability",proposed_not_fitted
M44,exploratory,dense-site dynamic state-space or occupancy substudy,guild/species,"latent daily/weekly relative use or occupancy","At repeatedly sampled localities, can a latent time series isolate the resource pulse from noisy checklist observations?",dense_location_day_or_week,"state process over time; checklist observation model; event covariates; effort and observer terms",nimble/brms/unmarked/custom Bayesian,"latent local use rises near spawn and returns toward baseline","only dense sites; strong observation-model assumptions",proposed_not_fitted
M45,supporting,event isolation and regional resource-dilution model,guild/species,"count/detection response modifier","Are birds more concentrated at isolated events or diluted among many simultaneous spawns?",checklist_event,"event response × nearest-event distance × concurrent event count × regional spawn total/rank",mgcv/glmmTMB/brms,"stronger local response at isolated/high-rank events or predictable dilution across concurrent events","correlated event metrics and regional migration",proposed_not_fitted
